Source,Target,nature_lien,label
aves_aa_4R_auth_0615,1452,conseiller_des_gourmets_et_courtiers,"seiler, zum, johanns"
aves_aa_4R_auth_0634,1452,conseiller_des_jardiniers,"trense, johanns"
aves_aa_4R_auth_0648,1452,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"marckoltzheim, von, johanns"
aves_aa_4R_auth_0652,1452,conseiller_des_crieurs_et_mesureurs_de_vin,"heiligenstein, von, anthenie"
aves_aa_4R_auth_0670,1452,conseiller_des_boulangers,"frank, johanns"
aves_aa_4R_auth_0671,1452,conseiller_des_tonneliers,"pfaffenheim, sifrit"
aves_aa_4R_auth_0672,1452,conseiller_des_drapiers,"odratzheim, von, johanns"
aves_aa_4R_auth_0673,1452,conseiller_des_tanneurs,"bitsch, claus"
aves_aa_4R_auth_0674,1452,conseiller_des_cabaretiers,"barpfennig, rudolff"
aves_aa_4R_auth_0675,1452,conseiller_des_forgerons,"messerschmit, johanns-erhart"
aves_aa_4R_auth_0676,1452,conseiller_des_tailleurs,"krosswiller, johanns"
aves_aa_4R_auth_0677,1452,conseiller_des_cordonniers,"lohel, burkhart"
aves_aa_4R_auth_0678,1452,conseiller_des_pêcheurs,"metziger, heinrich"
aves_aa_4R_auth_0679,1452,conseiller_des_barbiers_et_baigneurs,"wolff, jerge"
aves_aa_4R_auth_0680,1452,conseiller_des_sauniers,"gengenbach, von, claus"
aves_aa_4R_auth_0275,1453,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0372,1453,conseiller_des_drapiers,"armbruster, konrat"
aves_aa_4R_auth_0385,1453,conseiller_des_bateliers,"lumbart, johanns"
aves_aa_4R_auth_0391,1453,conseiller_des_tailleurs,"rotgebe, jacob"
aves_aa_4R_auth_0453,1453,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"kempf, claus"
aves_aa_4R_auth_0535,1453,conseiller_des_forgerons,"meiger, heinrich"
aves_aa_4R_auth_0537,1453,conseiller_des_marchands_de_grains,"birbaum, heinrich"
aves_aa_4R_auth_0559,1453,conseiller_des_tonneliers,"brettler, johanns"
aves_aa_4R_auth_0562,1453,conseiller_des_maçons,"zabern, von, sifrit"
aves_aa_4R_auth_0581,1453,conseiller_des_tanneurs,"minner, johanns"
aves_aa_4R_auth_0584,1453,ammeister,"melbrühe, johanns"
aves_aa_4R_auth_0589,1453,conseiller_des_cabaretiers,"baumgarter, claus"
aves_aa_4R_auth_0595,1453,conseiller_des_sauniers,"trachenfeils, diebolt"
aves_aa_4R_auth_0607,1453,conseiller_des_boulangers,"dürr, walther"
aves_aa_4R_auth_0611,1453,conseiller_des_pelletiers,"spirer, johanns"
aves_aa_4R_auth_0622,1453,conseiller_des_orfevres,"ross, johanns"
aves_aa_4R_auth_0636,1453,conseiller_des_constructeurs_de_bateaux,"hettemann, diebolt"
aves_aa_4R_auth_0645,1453,conseiller_des_charrons,"dreitzehn, claus"
aves_aa_4R_auth_0681,1453,conseiller_des_marchands,"nordhausen, von, johanns"
aves_aa_4R_auth_0682,1453,conseiller_des_bouchers,"berse, von, claus"
aves_aa_4R_auth_0683,1453,conseiller_des_charpentiers,"vetter, "
aves_aa_4R_auth_0684,1453,conseiller_des_crieurs_et_mesureurs_de_vin,"beingewant, claus"
aves_aa_4R_auth_0685,1453,conseiller_des_cordonniers,"lahr, von, johanns"
aves_aa_4R_auth_0686,1453,conseiller_des_pêcheurs,"lamb, bechtolt"
aves_aa_4R_auth_0687,1453,conseiller_des_barbiers_et_baigneurs,"scheubelin, peter"
aves_aa_4R_auth_0688,1453,conseiller_des_tisserands,"umb und umb, johanns"
aves_aa_4R_auth_0689,1453,conseiller_des_gourmets_et_courtiers,"recker, ulrich"
aves_aa_4R_auth_0690,1453,conseiller_des_regrattiers_cordiers_et_fruitiers,"gemersheim, von, andres"
aves_aa_4R_auth_0691,1453,conseiller_des_coltineurs_de_tonneaux,"keinne, bechtolt"
aves_aa_4R_auth_0332,1454,conseiller_des_forgerons,"trüchtersheim, von, ruhlemann"
aves_aa_4R_auth_0375,1454,conseiller_des_bateliers,"schalk, obrecht"
aves_aa_4R_auth_0508,1454,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"freund, claus"
