Source,Target,nature_lien,label
aves_aa_4R_auth_0001,1410,conseiller_des_bouchers,"metziger, wilhelm"
aves_aa_4R_auth_0005,1410,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0022,1410,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0027,1410,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0038,1410,conseiller_des_maçons,"gans, johanns"
aves_aa_4R_auth_0039,1410,conseiller_des_forgerons,"trüchtersheim, von, eberhart"
aves_aa_4R_auth_0057,1410,conseiller_des_constructeurs_de_bateaux,"bobst, lienhart"
aves_aa_4R_auth_0058,1410,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"ölmann, walther"
aves_aa_4R_auth_0067,1410,conseiller_des_charpentiers,", obrecht"
aves_aa_4R_auth_0082,1410,conseiller_des_boulangers,"geispoltzheim, von, jacob"
aves_aa_4R_auth_0095,1410,ammeister,"melbrühe, michel"
aves_aa_4R_auth_0113,1410,conseiller_des_cordonniers,"pfau, johanns"
aves_aa_4R_auth_0128,1410,conseiller_des_pelletiers,"seelose, heintz"
aves_aa_4R_auth_0137,1410,conseiller_des_marchands,"riffe, peter"
aves_aa_4R_auth_0154,1410,conseiller_des_tanneurs,"kücheler, peter"
aves_aa_4R_auth_0161,1410,conseiller_des_crieurs_et_mesureurs_de_vin,"rhinau, ottemann"
aves_aa_4R_auth_0179,1410,conseiller_des_tonneliers,"herrhorn, zum, thoman"
aves_aa_4R_auth_0180,1410,conseiller_des_cabaretiers,"mommenheim, von, johanns"
aves_aa_4R_auth_0181,1410,conseiller_des_tailleurs,"seltz, von, johanns"
aves_aa_4R_auth_0182,1410,conseiller_des_bateliers,"armbruster, konrat"
aves_aa_4R_auth_0183,1410,conseiller_des_orfevres,"mahler, hermann"
aves_aa_4R_auth_0184,1410,conseiller_des_marchands_de_grains,"bere, hensel"
aves_aa_4R_auth_0185,1410,conseiller_des_jardiniers,"hertzog, johanns"
aves_aa_4R_auth_0186,1410,conseiller_des_pêcheurs,"gauch, johanns"
aves_aa_4R_auth_0187,1410,conseiller_des_barbiers_et_baigneurs,"scherer, rudolff"
aves_aa_4R_auth_0188,1410,conseiller_des_tisserands,"renner, diebolt"
aves_aa_4R_auth_0189,1410,conseiller_des_gourmets_et_courtiers,"wachsmann, zum, fritsch"
aves_aa_4R_auth_0190,1410,conseiller_des_charrons,"dreitzehn, reimbolt"
aves_aa_4R_auth_0191,1410,conseiller_des_regrattiers_cordiers_et_fruitiers,"burkhart, riffe"
aves_aa_4R_auth_0016,1411,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0030,1411,conseiller_des_bateliers,"sünner, peter"
aves_aa_4R_auth_0031,1411,conseiller_des_marchands,"barpfennig, ruhlemann"
aves_aa_4R_auth_0081,1411,ammeister,"heilmann, johanns"
aves_aa_4R_auth_0087,1411,conseiller_des_cabaretiers,"wassicher, heilmann"
aves_aa_4R_auth_0117,1411,conseiller_des_tisserands,"messinger, heintz"
aves_aa_4R_auth_0130,1411,conseiller_des_orfevres,"arge, claus"
