Source,Target,nature_lien,label
aves_aa_4R_auth_0589,1470,conseiller_des_cabaretiers,"baumgarter, claus"
aves_aa_4R_auth_0629,1470,conseiller_des_marchands,"riffe, konrat"
aves_aa_4R_auth_0657,1470,conseiller_des_charrons,"voltz, johanns"
aves_aa_4R_auth_0659,1470,conseiller_des_maçons,"kacheler, johanns"
aves_aa_4R_auth_0660,1470,conseiller_des_forgerons,"holniet, johanns"
aves_aa_4R_auth_0673,1470,conseiller_des_tanneurs,"bitsch, claus"
aves_aa_4R_auth_0684,1470,conseiller_des_crieurs_et_mesureurs_de_vin,"beingewant, claus"
aves_aa_4R_auth_0688,1470,conseiller_des_tisserands,"umb und umb, johanns"
aves_aa_4R_auth_0711,1470,conseiller_des_jardiniers,"wolff, friedrich"
aves_aa_4R_auth_0752,1470,conseiller_des_tailleurs,"volk, andres"
aves_aa_4R_auth_0765,1470,conseiller_des_charpentiers,"bösch, claus"
aves_aa_4R_auth_0771,1470,conseiller_des_cordonniers,"weidlich, claus"
aves_aa_4R_auth_0775,1470,conseiller_des_gourmets_et_courtiers,"odratzheim, von, johanns"
aves_aa_4R_auth_0781,1470,ammeister,"schott, peter"
aves_aa_4R_auth_0801,1470,conseiller_des_bateliers,"berse, von, johanns"
aves_aa_4R_auth_0810,1470,conseiller_des_pelletiers,"sarburg, von, peter"
aves_aa_4R_auth_0811,1470,conseiller_des_orfevres,"bisinger, heinrich"
aves_aa_4R_auth_0812,1470,conseiller_des_marchands_de_grains,"bietenheim, sifrit"
aves_aa_4R_auth_0813,1470,conseiller_des_pêcheurs,"lehmann, martin"
aves_aa_4R_auth_0814,1470,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"spiess, hilarius"
aves_aa_4R_auth_0815,1470,conseiller_des_boulangers,"ottemann, diebolt"
aves_aa_4R_auth_0816,1470,conseiller_des_bouchers,"offenburg, bechtolt"
aves_aa_4R_auth_0817,1470,conseiller_des_tonneliers,"sanselmann, anthenie"
aves_aa_4R_auth_0818,1470,conseiller_des_drapiers,"säckingen, von, johanns"
aves_aa_4R_auth_0819,1470,conseiller_des_barbiers_et_baigneurs,"schedeler, johanns"
aves_aa_4R_auth_0820,1470,conseiller_des_sauniers,"trachenfeils, mattern"
aves_aa_4R_auth_0821,1470,conseiller_des_regrattiers_cordiers_et_fruitiers,"gemersheim, von, laurentz"
aves_aa_4R_auth_0505,1471,conseiller_des_marchands_de_grains,"rohr, von, peter"
aves_aa_4R_auth_0566,1471,conseiller_des_tisserands,"kork, von, peter"
aves_aa_4R_auth_0608,1471,conseiller_des_tanneurs,"vendenheim, johanns"
aves_aa_4R_auth_0622,1471,conseiller_des_orfevres,"ross, johanns"
aves_aa_4R_auth_0636,1471,conseiller_des_charpentiers,"hettemann, diebolt"
aves_aa_4R_auth_0659,1471,conseiller_des_maçons,"kacheler, johanns"
aves_aa_4R_auth_0711,1471,conseiller_des_jardiniers,"wolff, friedrich"
aves_aa_4R_auth_0753,1471,ammeister,"arge, heinrich"
aves_aa_4R_auth_0764,1471,conseiller_des_cabaretiers,"messner, adam"
aves_aa_4R_auth_0771,1471,conseiller_des_cordonniers,"weidlich, claus"
aves_aa_4R_auth_0775,1471,conseiller_des_gourmets_et_courtiers,"odratzheim, von, johanns"
aves_aa_4R_auth_0779,1471,conseiller_des_pelletiers,"meiger, johanns"
aves_aa_4R_auth_0801,1471,conseiller_des_bateliers,"berse, von, johanns"
aves_aa_4R_auth_0815,1471,conseiller_des_boulangers,"ottemann, diebolt"
aves_aa_4R_auth_0816,1471,conseiller_des_bouchers,"offenburg, bechtolt"
aves_aa_4R_auth_0817,1471,conseiller_des_tonneliers,"sanselmann, anthenie"
aves_aa_4R_auth_0818,1471,conseiller_des_drapiers,"säckingen, von, johanns"
aves_aa_4R_auth_0819,1471,conseiller_des_barbiers_et_baigneurs,"schedeler, johanns"
aves_aa_4R_auth_0820,1471,conseiller_des_sauniers,"trachenfeils, mattern"
aves_aa_4R_auth_0821,1471,conseiller_des_regrattiers_cordiers_et_fruitiers,"gemersheim, von, laurentz"
aves_aa_4R_auth_0822,1471,conseiller_des_marchands,"villinger, erhart"
aves_aa_4R_auth_0823,1471,conseiller_des_tailleurs,"duntzenheim, von, symont"
aves_aa_4R_auth_0824,1471,conseiller_des_forgerons,"hug, burkhart"
aves_aa_4R_auth_0825,1471,conseiller_des_pêcheurs,"weldel, johanns"
aves_aa_4R_auth_0826,1471,conseiller_des_charrons,"meiger, johanns"
aves_aa_4R_auth_0275,1472,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0505,1472,conseiller_des_marchands_de_grains,"rohr, von, peter"
aves_aa_4R_auth_0553,1472,conseiller_des_charrons,"spielmann, johanns"
aves_aa_4R_auth_0589,1472,ammeister,"baumgarter, claus"
aves_aa_4R_auth_0608,1472,conseiller_des_tanneurs,"vendenheim, johanns"
aves_aa_4R_auth_0622,1472,conseiller_des_orfevres,"ross, johanns"
aves_aa_4R_auth_0678,1472,conseiller_des_pêcheurs,"metziger, heinrich"
aves_aa_4R_auth_0700,1472,conseiller_des_regrattiers_cordiers_et_fruitiers,"herbst, claus"
aves_aa_4R_auth_0702,1472,conseiller_des_boulangers,"burer, ulrich"
aves_aa_4R_auth_0704,1472,conseiller_des_drapiers,"wingersheim, stefan"
aves_aa_4R_auth_0728,1472,conseiller_des_tisserands,"wolle, claus"
aves_aa_4R_auth_0749,1472,conseiller_des_barbiers_et_baigneurs,"scherer, bernhart"
aves_aa_4R_auth_0763,1472,conseiller_des_tonneliers,"ammelung, jacob"
aves_aa_4R_auth_0764,1472,conseiller_des_cabaretiers,"messner, adam"
aves_aa_4R_auth_0779,1472,conseiller_des_pelletiers,"meiger, johanns"
aves_aa_4R_auth_0802,1472,conseiller_des_bouchers,"kerling, marx"
aves_aa_4R_auth_0822,1472,conseiller_des_marchands,"villinger, erhart"
aves_aa_4R_auth_0823,1472,conseiller_des_tailleurs,"duntzenheim, von, symont"
aves_aa_4R_auth_0827,1472,conseiller_des_bateliers,"berlin, johanns"
aves_aa_4R_auth_0828,1472,conseiller_des_sauniers,"renner, claus"
aves_aa_4R_auth_0829,1472,conseiller_des_gourmets_et_courtiers,"zabern, von, ulrich"
aves_aa_4R_auth_0830,1472,conseiller_des_forgerons,"ammeister, lienhart"
aves_aa_4R_auth_0831,1472,conseiller_des_cordonniers,"wolffach, konrat"
aves_aa_4R_auth_0832,1472,conseiller_des_charpentiers,"hüss, jerge"
aves_aa_4R_auth_0833,1472,conseiller_des_maçons,"sivester, johanns"
aves_aa_4R_auth_0275,1473,conseiller_des_jardiniers,"spete, johanns"
aves_aa_4R_auth_0629,1473,ammeister,"riffe, konrat"
aves_aa_4R_auth_0700,1473,conseiller_des_regrattiers_cordiers_et_fruitiers,"herbst, claus"
aves_aa_4R_auth_0702,1473,conseiller_des_boulangers,"burer, ulrich"
aves_aa_4R_auth_0704,1473,conseiller_des_drapiers,"wingersheim, stefan"
aves_aa_4R_auth_0717,1473,conseiller_des_pelletiers,"vogt, walther"
aves_aa_4R_auth_0749,1473,conseiller_des_barbiers_et_baigneurs,"scherer, bernhart"
aves_aa_4R_auth_0753,1473,conseiller_des_orfevres,"arge, heinrich"
aves_aa_4R_auth_0755,1473,conseiller_des_charrons,"gries, peter"
aves_aa_4R_auth_0763,1473,conseiller_des_tonneliers,"ammelung, jacob"
aves_aa_4R_auth_0774,1473,conseiller_des_sauniers,"medinger, heinrich"
aves_aa_4R_auth_0781,1473,conseiller_des_marchands_de_grains,"schott, peter"
aves_aa_4R_auth_0782,1473,conseiller_des_pêcheurs,"baltener, diebolt"
aves_aa_4R_auth_0790,1473,conseiller_des_tisserands,"olwisheim, von, peter"
aves_aa_4R_auth_0796,1473,conseiller_des_cabaretiers,"brant, johanns"
aves_aa_4R_auth_0802,1473,conseiller_des_bouchers,"kerling, marx"
aves_aa_4R_auth_0827,1473,conseiller_des_bateliers,"berlin, johanns"
aves_aa_4R_auth_0829,1473,conseiller_des_gourmets_et_courtiers,"zabern, von, ulrich"
aves_aa_4R_auth_0830,1473,conseiller_des_forgerons,"ammeister, lienhart"
aves_aa_4R_auth_0831,1473,conseiller_des_cordonniers,"wolffach, konrat"
aves_aa_4R_auth_0833,1473,conseiller_des_maçons,"sivester, johanns"
aves_aa_4R_auth_0834,1473,conseiller_des_marchands,"müge, jacob"
aves_aa_4R_auth_0835,1473,conseiller_des_tanneurs,"westhoffen, claus"
aves_aa_4R_auth_0836,1473,conseiller_des_tailleurs,"grewalt, michel"
aves_aa_4R_auth_0837,1473,conseiller_des_charpentiers,"raubel, martin"
aves_aa_4R_auth_0554,1474,conseiller_des_regrattiers_cordiers_et_fruitiers,"schwencker, johanns"
aves_aa_4R_auth_0753,1474,conseiller_des_orfevres,"arge, heinrich"
aves_aa_4R_auth_0755,1474,conseiller_des_charrons,"gries, peter"
aves_aa_4R_auth_0781,1474,conseiller_des_marchands_de_grains,"schott, peter"
aves_aa_4R_auth_0782,1474,conseiller_des_pêcheurs,"baltener, diebolt"
aves_aa_4R_auth_0796,1474,conseiller_des_cabaretiers,"brant, johanns"
aves_aa_4R_auth_0801,1474,ammeister,"berse, von, johanns"
aves_aa_4R_auth_0804,1474,conseiller_des_bateliers,"hage, frantz"
aves_aa_4R_auth_0815,1474,conseiller_des_boulangers,"ottemann, diebolt"
aves_aa_4R_auth_0816,1474,conseiller_des_bouchers,"offenburg, bechtolt"
aves_aa_4R_auth_0817,1474,conseiller_des_tonneliers,"sanselmann, anthenie"
aves_aa_4R_auth_0819,1474,conseiller_des_barbiers_et_baigneurs,"schedeler, johanns"
aves_aa_4R_auth_0820,1474,conseiller_des_sauniers,"trachenfeils, mattern"
aves_aa_4R_auth_0824,1474,conseiller_des_forgerons,"hug, burkhart"
aves_aa_4R_auth_0834,1474,conseiller_des_marchands,"müge, jacob"
aves_aa_4R_auth_0835,1474,conseiller_des_tanneurs,"westhoffen, claus"
aves_aa_4R_auth_0837,1474,conseiller_des_charpentiers,"raubel, martin"
aves_aa_4R_auth_0838,1474,conseiller_des_drapiers,"pfeffinger, bernhart"
aves_aa_4R_auth_0839,1474,conseiller_des_pelletiers,"slapp, johanns"
aves_aa_4R_auth_0840,1474,conseiller_des_gourmets_et_courtiers,"kochersberg, erhart"
aves_aa_4R_auth_0841,1474,conseiller_des_tailleurs,"reck, diebolt"
aves_aa_4R_auth_0842,1474,conseiller_des_cordonniers,"burkhart, johanns"
aves_aa_4R_auth_0843,1474,conseiller_des_jardiniers,"rebestock, fritsch"
aves_aa_4R_auth_0844,1474,conseiller_des_tisserands,"olwisheim, peter"
aves_aa_4R_auth_0845,1474,conseiller_des_maçons,"scholle, johanns"
aves_aa_4R_auth_0553,1475,conseiller_des_charrons,"spielmann, johanns"
