PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
heintz,henri,"['masc', 'germanique', 'diminutif']","['heintz', 'heinz', 'heintzeman', 'heintzman', 'heintzel', 'heintze']"
heitz,,"['masc', 'germanique']","['heitzman', 'heitz', 'heitze']"
henneckin,,"['masc', 'germanique']","['henckin', 'henneckin', 'hennickin']"
hensel,jean,"['masc', 'germanique', 'diminutif']","['hensel', 'henselin', 'henß', 'henseln', 'hennsel', 'hennß']"
hermann,,"['masc', 'germanique']","['herman', 'hermann']"
herzog,,"['masc', 'germanique']","['herzog', 'hertzog', 'hertzoüge']"
hessemann,,"['masc', 'germanique']","['hesseman', 'hessemann']"
hettemann,,"['masc', 'germanique']","['hettman', 'hettemann']"
hetzel,,"['masc', 'germanique']",['hetzel']
hilarius,hilaire,"['masc', 'latin']","['hylarius', 'hilarius']"
hirtz,,"['masc', 'germanique']","['hirtz', 'hirtzil']"
hug,hugues,"['masc', 'germanique']","['hug', 'hig', 'hück', 'hugel', 'hüg', 'hügel', 'hugelin']"
hörnel,,"['masc', 'germanique']","['hörnelin', 'hörnel']"
jacob,jacob,"['masc', 'hébraïque']","['jacob', 'jacop', 'jakob', 'jakop', 'jocob', 'jokop']"
jeckel,jacques,"['masc', 'hébreux']","['jeckel', 'jeckelin', 'jecklin', 'jeckeln']"
jerge,georges,"['masc', 'grec']","['jerge', 'jörge', 'jorg', 'joͤrg', 'jorgͤ', 'joͤrge', 'joͤrg', 'jerg', 'gerge', 'jorge', 'jörg']"
jeronimus,jérôme,"['masc', 'latin']",['jeronimus']
johanns,jean,"['masc', 'hébraïque']","['johann', 'johan', 'johanns', 'johans', 'hanns', 'hans', 'hanseman', 'hannseman', 'lùtoltz hanns', 'hannß', 'johannes', 'hannes']"
johanns-adam,jean-adam,"['masc', 'hébraïque', 'composé']","['hanns adam', 'johanns-adam']"
johanns-adolff,jean-adolphe,"['masc', 'compose', 'hebrew', 'germanique']","['hannsadolff', 'johanns-adolff', 'hanns adolff', 'hans adolff']"
johanns-balthazar,jean-balthazar,"['masc', 'germanique', 'hebrew']","['hannß balthazar', 'johanns-balthazar', 'hanns balthazar']"
johanns-claus,jean-nicolas,"['masc', 'compose', 'hebrew', 'grec']","['hansclaus', 'johanns-claus']"
johanns-diebolt,jean-thibault,"['masc', 'compose', 'hebrew', 'germanique']","['hanns diebolt', 'johanns-diebolt']"
johanns-dietrich,jean-thierry,"['masc', 'hébraïque', 'germanique', 'composé']","['hanns tietrich', 'johanns-dietrich']"
johanns-erhart,johanns-erhart,"['masc', 'compose', 'germanique']","['hannßerhart', 'johanns-erhart', 'hanns erhart', 'hans erhart', 'hanserhart']"
johanns-heinrich,jean-henri,"['masc', 'compose', 'germanique']","['hans heinrich', 'johanns-heinrich', 'hannsheinrich', 'hanns heinrich']"
johanns-hiltebrant,jean-hildebrand,"['masc', 'compose', 'germanique']","['hanns hiltbrant', 'johanns-hiltebrant', 'hans hiltebrant']"
johanns-jerge,jean-georges,"['masc', 'compose', 'hebreux', 'grec']","['hannß joͤrg', 'johanns-jerge', 'hanns jerge']"
johanns-konrat,jean-konrad,"['masc', 'compose', 'hebrew', 'germanique']","['hans conrat', 'johanns-konrat', 'hannß conrat', 'hannßconrat', 'hannsconrat', 'hanns conrat', 'hansconrat', 'hanns cünrat']"
johanns-ludwig,jean-louis,"['masc', 'compose', 'latin']","['hanns ludwig', 'johanns-ludwig', 'hansludwig']"
johanns-lütholt,,"['masc', 'compose', 'latin', 'germanique']","['lütoltz hanns', 'johanns-lütholt']"
johanns-marx,jean-marc,"['masc', 'compose', 'latin', 'hebrew']","['hanns marx', 'johanns-marx']"
johanns-rudolff,jean-rodolphe,"['masc', 'compose', 'latin', 'germanique']","['hanns rüdolff', 'johanns-rudolff', 'johanns rüdolff', 'johanns ruͦdolff', 'johannß ruͦdolff', 'hanns ruͦdolff', 'hans ruͦdolff', 'hannsruͦdolff', 'hannsrüdolff']"
johanns-wilhelm,jean-guillaum,"['masc', 'compose', 'hebrew', 'germanique']","['hans wilhelm', 'johanns-wilhelm', 'hanswilhelm']"
jost,juste,"['masc', 'latin']","['jost', 'joste', 'jösel', 'josel']"
karl,charles,"['masc', 'germanique']","['karle', 'karl']"
katherin,catherine,"['fém', 'grec']","['katherin', 'katherine', 'katherina', 'katherinn', 'ketherin']"
khurin,,"['masc', 'germanique']","['churin', 'khurin', 'chùrin', 'kuͦrin']"
klaue,,"['masc', 'germanique']","['clawe', 'klaue']"
kleis,,"['masc', 'germanique']","['cleisel', 'kleis', 'cleselin']"
klore,clara,"['fém', 'latin']","['clore', 'klore', 'clerlin']"
konrat,konrad,"['masc', 'germanique']","['konrad', 'konradt', 'konrat', 'cünrat', 'cünrad', 'conrat', 'conrad', 'cuͦnrat', 'cunrat', 'cönrat', 'cuͦnrat']"
kopff,,"['masc', 'germanique']","['koppfelin', 'kopff']"
kraft,,"['masc', 'germanique']","['kraft', 'krafft', 'craft', 'crafft']"
kristine,christine,"['fém', 'grec']","['cristine', 'kristine']"
köbel,,"['masc', 'germanique']","['cöbelin', 'köbel']"
kühne,,"['masc', 'germanique']","['kühne', 'küne', 'cüne', 'cüneman', 'cuͦne', 'cuͦneman', 'cuͦn']"
küntz,konrad,"['masc', 'germanique', 'diminutif']","['küntz', 'cüntz', 'cüntzel', 'cuentz', 'cuentzel', 'cüntze', 'cuentze', 'cüntzlin', 'cùntz', 'cuͦntz', 'cuntz', 'cùntzlin', 'cuͦntz', 'cüntzelin', 'contz', 'cuntzel', 'cuͦntz', 'contzel', 'cuntze', 'küntzel', 'cüntzen', 'cuͦntze']"
kürin,,"['masc', 'germanique']",['kürin']
lamprecht,,"['masc', 'germanique']","['lampreht', 'lamprecht']"
laurentz,laurent,"['masc', 'latin']","['lentzel', 'lentz', 'laurentz', 'lorentz', 'lentzeln', 'lorentzie', 'lorentze']"
