Id,Label,Cat
aves_aa_4R_auth_0071,"bock, johanns",personne
aves_aa_4R_auth_0072,"lamb, hensel",personne
aves_aa_4R_auth_0073,"obrecht, johanns",personne
aves_aa_4R_auth_0074,"schmied, lienhart",personne
aves_aa_4R_auth_0075,"ingenheim, claus",personne
aves_aa_4R_auth_0076,"schenck, johanns",personne
aves_aa_4R_auth_0077,"steck, johanns",personne
aves_aa_4R_auth_0078,"steingewerck, claus",personne
aves_aa_4R_auth_0079,"mörlin, johanns",personne
aves_aa_4R_auth_0080,"altheim, claus",personne
aves_aa_4R_auth_0081,"heilmann, johanns",personne
aves_aa_4R_auth_0082,"geispoltzheim, von, jacob",personne
aves_aa_4R_auth_0083,"müseler, peter",personne
aves_aa_4R_auth_0084,"armbruster, obrecht",personne
aves_aa_4R_auth_0085,"küntzlin, diethmar",personne
aves_aa_4R_auth_0086,"kirwiller, von, gerbot",personne
aves_aa_4R_auth_0087,"wassicher, heilmann",personne
aves_aa_4R_auth_0088,"ruhlmann, lauwel",personne
aves_aa_4R_auth_0089,"lorer, hermann",personne
aves_aa_4R_auth_0090,"miltenberg, johanns",personne
aves_aa_4R_auth_0091,"vogt, johanns",personne
aves_aa_4R_auth_0092,"beildeck, jacob",personne
aves_aa_4R_auth_0093,"herring, oberlin",personne
aves_aa_4R_auth_0094,"waltenheim, johanns",personne
aves_aa_4R_auth_0095,"melbrühe, michel",personne
aves_aa_4R_auth_0096,"martin, johanns",personne
aves_aa_4R_auth_0097,"mönchelin, küntz",personne
aves_aa_4R_auth_0098,"rohrer, marx",personne
aves_aa_4R_auth_0099,"rüllin, claus",personne
aves_aa_4R_auth_0100,"wecker, jeckel",personne
aves_aa_4R_auth_0101,"nesselbach, erhart",personne
aves_aa_4R_auth_0102,"hühnerer, lauwel",personne
aves_aa_4R_auth_0103,"altheim, jacob",personne
aves_aa_4R_auth_0104,"friedel, lauwel",personne
aves_aa_4R_auth_0105,"wingersheim, peter",personne
aves_aa_4R_auth_0106,"kammerer, johanns",personne
