Source,Target,nature_lien,label
aves_aa_4R_auth_0075,1416,conseiller_des_tisserands,"ingenheim, claus"
aves_aa_4R_auth_0076,1434,conseiller_des_gourmets_et_courtiers,"schenck, johanns"
aves_aa_4R_auth_0077,1402,conseiller_des_charrons,"steck, johanns"
aves_aa_4R_auth_0078,1408,conseiller_des_regrattiers_cordiers_et_fruitiers,"steingewerck, claus"
aves_aa_4R_auth_0079,1406,conseiller_des_coltineurs_de_tonneaux,"mörlin, johanns"
aves_aa_4R_auth_0080,1402,conseiller_des_constructeurs_de_bateaux,"altheim, claus"
aves_aa_4R_auth_0081,1419,conseiller_des_drapiers,"heilmann, johanns"
aves_aa_4R_auth_0082,1447,conseiller_des_boulangers,"geispoltzheim, von, jacob"
aves_aa_4R_auth_0083,1415,conseiller_des_bouchers,"müseler, peter"
aves_aa_4R_auth_0084,1403,conseiller_des_drapiers,"armbruster, obrecht"
aves_aa_4R_auth_0085,1403,conseiller_des_tonneliers,"küntzlin, diethmar"
aves_aa_4R_auth_0086,1403,conseiller_des_tanneurs,"kirwiller, von, gerbot"
aves_aa_4R_auth_0087,1411,conseiller_des_cabaretiers,"wassicher, heilmann"
aves_aa_4R_auth_0088,1416,conseiller_des_maçons,"ruhlmann, lauwel"
aves_aa_4R_auth_0089,1403,conseiller_des_forgerons,"lorer, hermann"
aves_aa_4R_auth_0090,1403,conseiller_des_tailleurs,"miltenberg, johanns"
aves_aa_4R_auth_0091,1403,conseiller_des_charpentiers,"vogt, johanns"
aves_aa_4R_auth_0092,1403,conseiller_des_crieurs_et_mesureurs_de_vin,"beildeck, jacob"
aves_aa_4R_auth_0093,1412,conseiller_des_cordonniers,"herring, oberlin"
aves_aa_4R_auth_0094,1403,conseiller_des_orfevres,"waltenheim, johanns"
aves_aa_4R_auth_0095,1418,conseiller_des_marchands_de_grains,"melbrühe, michel"
aves_aa_4R_auth_0096,1415,conseiller_des_jardiniers,"martin, johanns"
aves_aa_4R_auth_0097,1419,conseiller_des_pêcheurs,"mönchelin, küntz"
aves_aa_4R_auth_0098,1415,conseiller_des_barbiers_et_baigneurs,"rohrer, marx"
aves_aa_4R_auth_0099,1417,conseiller_des_sauniers,"rüllin, claus"
aves_aa_4R_auth_0100,1403,conseiller_des_tisserands,"wecker, jeckel"
aves_aa_4R_auth_0101,1403,conseiller_des_gourmets_et_courtiers,"nesselbach, erhart"
aves_aa_4R_auth_0102,1420,conseiller_des_regrattiers_cordiers_et_fruitiers,"hühnerer, lauwel"
aves_aa_4R_auth_0103,1403,conseiller_des_constructeurs_de_bateaux,"altheim, jacob"
aves_aa_4R_auth_0104,1404,conseiller_des_bouchers,"friedel, lauwel"
aves_aa_4R_auth_0105,1404,conseiller_des_drapiers,"wingersheim, peter"
aves_aa_4R_auth_0106,1404,conseiller_des_tonneliers,"kammerer, johanns"
aves_aa_4R_auth_0107,1430,conseiller_des_cabaretiers,"spirer, anshelm"
aves_aa_4R_auth_0108,1404,conseiller_des_forgerons,"lorer, johanns"
aves_aa_4R_auth_0109,1404,conseiller_des_tailleurs,"menniger, johanns"
aves_aa_4R_auth_0110,1404,conseiller_des_bateliers,"kacheler, johanns"
aves_aa_4R_auth_0111,1404,conseiller_des_pelletiers,"mönchelin, johanns"
aves_aa_4R_auth_0112,1404,conseiller_des_charpentiers,"oberkirch, von, lauwel"
aves_aa_4R_auth_0113,1434,conseiller_des_cordonniers,"pfau, johanns"
aves_aa_4R_auth_0114,1414,conseiller_des_marchands_de_grains,"berner, johanns"
aves_aa_4R_auth_0115,1417,conseiller_des_jardiniers,"natteler, andres"
aves_aa_4R_auth_0116,1414,conseiller_des_barbiers_et_baigneurs,"albrecht, johanns"
aves_aa_4R_auth_0117,1423,conseiller_des_tisserands,"messinger, heintz"
aves_aa_4R_auth_0118,1404,conseiller_des_gourmets_et_courtiers,"girbaden, hensel"
aves_aa_4R_auth_0119,1404,conseiller_des_charrons,", reinhart"
aves_aa_4R_auth_0120,1418,conseiller_des_coltineurs_de_tonneaux,"willgottheim, claus"
aves_aa_4R_auth_0121,1412,conseiller_des_marchands,"rottweil, von, erhart"
aves_aa_4R_auth_0122,1426,conseiller_des_boulangers,"hagenau, von, wernher"
aves_aa_4R_auth_0123,1408,conseiller_des_tonneliers,"schanlit, walther"
aves_aa_4R_auth_0124,1405,conseiller_des_tanneurs,"weissgerber, fritsch"
aves_aa_4R_auth_0125,1438,conseiller_des_cabaretiers,"wormser, claus"
aves_aa_4R_auth_0126,1405,conseiller_des_maçons,"hagenau, von, erhart"
aves_aa_4R_auth_0127,1405,conseiller_des_forgerons,"stegemann, eberhart"
aves_aa_4R_auth_0128,1427,conseiller_des_pelletiers,"seelose, heintz"
aves_aa_4R_auth_0129,1413,conseiller_des_crieurs_et_mesureurs_de_vin,"hechde, claus"
aves_aa_4R_auth_0130,1417,ammeister,"arge, claus"
aves_aa_4R_auth_0131,1439,ammeister,"melbrühe, claus"
aves_aa_4R_auth_0132,1405,conseiller_des_jardiniers,"wintzler, peter"
aves_aa_4R_auth_0133,1444,conseiller_des_pêcheurs,"lamb, johanns"
aves_aa_4R_auth_0134,1405,conseiller_des_sauniers,"messerer, claus"
aves_aa_4R_auth_0135,1405,conseiller_des_tisserands,"frei, uhlmann"
aves_aa_4R_auth_0136,1405,conseiller_des_regrattiers_cordiers_et_fruitiers,"fritschmann, hug"
aves_aa_4R_auth_0137,1431,conseiller_des_marchands,"riffe, peter"
aves_aa_4R_auth_0138,1406,conseiller_des_boulangers,"gerter, küntz"
aves_aa_4R_auth_0139,1446,ammeister,"schanlit, claus"
aves_aa_4R_auth_0140,1418,conseiller_des_cabaretiers,"kraft, johanns"
aves_aa_4R_auth_0141,1406,conseiller_des_maçons,"kindelin, mewus"
aves_aa_4R_auth_0142,1413,conseiller_des_tailleurs,"überhang, zum, hermann"
aves_aa_4R_auth_0143,1414,conseiller_des_bateliers,"meiger, johanns"
aves_aa_4R_auth_0144,1421,conseiller_des_pelletiers,"hagenau, von, götze"
aves_aa_4R_auth_0145,1409,conseiller_des_charpentiers,"lamb, heitz"
aves_aa_4R_auth_0146,1420,conseiller_des_orfevres,"seifenmacher, hug"
aves_aa_4R_auth_0147,1406,conseiller_des_jardiniers,"grossstein, johanns"
aves_aa_4R_auth_0148,1406,conseiller_des_barbiers_et_baigneurs,"stollhofen, hensel"
aves_aa_4R_auth_0149,1426,conseiller_des_tisserands,"frei, johanns"
aves_aa_4R_auth_0150,1406,conseiller_des_charrons,"gosse, peter"
aves_aa_4R_auth_0151,1406,conseiller_des_regrattiers_cordiers_et_fruitiers,"seiler, peter"
aves_aa_4R_auth_0152,1406,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"dürningen, von, johanns"
aves_aa_4R_auth_0153,1408,conseiller_des_marchands,"leimer, heinrich"
aves_aa_4R_auth_0154,1413,conseiller_des_tanneurs,"kücheler, peter"
aves_aa_4R_auth_0155,1408,conseiller_des_maçons,"bergheim, von, johanns"
aves_aa_4R_auth_0156,1408,conseiller_des_forgerons,"gast, ludwig"
aves_aa_4R_auth_0157,1446,conseiller_des_tailleurs,"schrotbanck, konrat"
aves_aa_4R_auth_0158,1418,conseiller_des_bateliers,"lumbart, johanns"
aves_aa_4R_auth_0159,1408,conseiller_des_pelletiers,"vogt, johanns"
aves_aa_4R_auth_0160,1427,conseiller_des_charpentiers,"oberkirch, von, claus"
aves_aa_4R_auth_0161,1410,conseiller_des_crieurs_et_mesureurs_de_vin,"rhinau, ottemann"
aves_aa_4R_auth_0162,1408,conseiller_des_marchands_de_grains,"rotenschilt, zum, wolff"
aves_aa_4R_auth_0163,1420,conseiller_des_barbiers_et_baigneurs,", walther"
aves_aa_4R_auth_0164,1408,conseiller_des_tisserands,"marlen, peter"
aves_aa_4R_auth_0165,1411,conseiller_des_gourmets_et_courtiers,"pfaffenhoffen, johanns"
