Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0083,personne,"müseler, peter",corporation_des_bouchers,0.001167,0,110,0.245579,4,0.437333,0.486704
aves_aa_4R_auth_0581,personne,"minner, johanns",corporation_des_tanneurs,0.001162,2,140,0.422668,3,0.474446,0.516599
aves_aa_4R_auth_0067,personne,obrecht,corporation_des_charpentiers,0.00116,0,84,0.203232,4,0.426159,0.473069
aves_aa_4R_auth_0755,personne,"gries, peter",corporation_des_charrons,0.00116,2,104,0.294973,3,0.446866,0.487466
aves_aa_4R_auth_0571,personne,"walt, johanns",corporation_des_maçons,0.001153,2,112,0.360028,3,0.479532,0.515583
aves_aa_4R_auth_0102,personne,"hühnerer, lauwel",corporation_des_regrattiers_cordiers_et_fruitiers,0.00115,0,84,0.229718,4,0.457462,0.495512
aves_aa_4R_auth_0932,personne,"gerbot, jacob",corporation_des_cabaretiers,0.00115,3,81,0.09017,4,0.376435,0.422171
aves_aa_4R_auth_0570,personne,"wormser, völtz",corporation_des_bouchers,0.001148,1,112,0.344007,3,0.478134,0.514905
aves_aa_4R_auth_0205,personne,"brüchelin, hansekint",corporation_des_pêcheurs,0.001132,0,56,0.196388,4,0.44545,0.48103
aves_aa_4R_auth_0301,personne,"hüter, johanns",corporation_des_gourmets_et_courtiers,0.001081,0,84,0.30732,4,0.471039,0.507791
aves_aa_4R_auth_0501,personne,"dingsheim, johanns",corporation_des_tonneliers,0.00107,1,84,0.31039,3,0.481409,0.512534
aves_aa_4R_auth_0088,personne,"ruhlmann, lauwel",corporation_des_maçons,0.00104,0,84,0.221951,4,0.459169,0.49585
aves_aa_4R_auth_0093,personne,"herring, oberlin",corporation_des_cordonniers,0.001039,0,111,0.237839,4,0.434437,0.483147
aves_aa_4R_auth_0158,personne,"lumbart, johanns",corporation_des_bateliers,0.001037,0,84,0.208594,4,0.454084,0.491785
aves_aa_4R_auth_0414,personne,"meiger, johanns",corporation_des_crieurs_et_mesureurs_de_vin,0.00103,1,112,0.342495,4,0.470813,0.513381
aves_aa_4R_auth_0160,personne,"oberkirch, von, claus",corporation_des_charpentiers,0.001015,0,56,0.169875,4,0.443243,0.477473
aves_aa_4R_auth_0207,personne,"blumenstein, johanns",corporation_des_sauniers,0.001006,0,56,0.202914,4,0.468795,0.496528
aves_aa_4R_auth_0611,personne,"spirer, johanns",corporation_des_pelletiers,0.00099,2,113,0.376094,3,0.477207,0.515244
aves_aa_4R_auth_0264,personne,"reichwein, walther",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000982,0,113,0.305602,4,0.439678,0.489753
aves_aa_4R_auth_0137,personne,"riffe, peter",corporation_des_marchands,0.000978,0,83,0.244339,4,0.440466,0.483316
aves_aa_4R_auth_0722,personne,"steinhart, johanns",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000971,2,137,0.394136,3,0.462841,0.507114
aves_aa_4R_auth_0777,personne,"rohr, von, walther",corporation_des_cabaretiers,0.000967,3,100,0.237565,3,0.440072,0.479336
aves_aa_4R_auth_0516,personne,"träger, johanns",corporation_des_charrons,0.000963,2,84,0.315413,3,0.473304,0.506606
aves_aa_4R_auth_0498,personne,"herbst, peter",corporation_des_regrattiers_cordiers_et_fruitiers,0.000944,1,84,0.309822,3,0.483063,0.51372
aves_aa_4R_auth_0336,personne,"üsenberg, heintz",corporation_des_cordonniers,0.000935,1,84,0.27711,4,0.471039,0.505335
aves_aa_4R_auth_0345,personne,"mentzer, adam",corporation_des_coltineurs_de_tonneaux,0.000919,1,84,0.277443,4,0.470813,0.506182
aves_aa_4R_auth_0259,personne,"roser, heintz",corporation_des_pêcheurs,0.000901,0,84,0.281802,4,0.464589,0.500085
aves_aa_4R_auth_0412,personne,"kücheler, bartholomeus",corporation_des_tanneurs,0.000869,1,84,0.303203,4,0.473988,0.507199
aves_aa_4R_auth_0329,personne,"kalt, johanns",corporation_des_bouchers,0.000866,1,84,0.28645,4,0.464151,0.501186
aves_aa_4R_auth_0928,personne,"missbach, johanns",corporation_des_tanneurs,0.000864,3,82,0.090535,4,0.367164,0.410061
aves_aa_4R_auth_0219,personne,"schmalriem, andres",corporation_des_orfevres,0.00086,0,84,0.288397,4,0.463059,0.500339
aves_aa_4R_auth_0051,personne,"saltzmütter, johanns",corporation_des_sauniers,0.000852,0,84,0.209179,4,0.422862,0.468496
