Id,type,Label,corporation,betweenesscentrality,modularity_class,weighted degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality
aves_aa_4R_auth_0079,personne,"mörlin, johanns",corporation_des_coltineurs_de_tonneaux,0.000344,0,55,0.112881,4,0.403444,0.441396
aves_aa_4R_auth_0217,personne,"kerb, johanns",corporation_des_charpentiers,0.000343,0,56,0.169612,4,0.419259,0.458333
aves_aa_4R_auth_0281,personne,"müntzenberg, johanns",corporation_des_tanneurs,0.000339,0,57,0.185766,4,0.439875,0.473747
aves_aa_4R_auth_0074,personne,"schmied, lienhart",corporation_des_sauniers,0.000332,0,56,0.112041,4,0.401797,0.440295
aves_aa_4R_auth_0369,personne,"wissemburg, johanns",corporation_des_regrattiers_cordiers_et_fruitiers,0.00033,0,84,0.291434,4,0.460243,0.497036
aves_aa_4R_auth_0575,personne,"sasbach, konrat",corporation_des_charrons,0.00033,2,56,0.219246,4,0.446056,0.477388
aves_aa_4R_auth_0018,personne,"hühnerer, ulrich",corporation_des_marchands_de_grains,0.000324,0,55,0.116077,4,0.406276,0.444275
aves_aa_4R_auth_0858,personne,"büre, von, oberlin",corporation_des_tanneurs,0.000321,3,88,0.168191,4,0.381691,0.428354
aves_aa_4R_auth_0043,personne,"münch, ottemann",corporation_des_pelletiers,0.000318,0,56,0.117424,4,0.406108,0.4469
aves_aa_4R_auth_0853,personne,"ersam, claus",corporation_des_jardiniers,0.000317,3,88,0.162782,4,0.389703,0.434282
aves_aa_4R_auth_0745,personne,"ingolt, claus",corporation_des_marchands,0.000316,2,81,0.235273,3,0.441652,0.477642
aves_aa_4R_auth_0034,personne,"herbst, johanns",corporation_des_drapiers,0.000315,0,56,0.124026,4,0.403775,0.442666
aves_aa_4R_auth_0918,personne,"rotschilt, stefan",corporation_des_orfevres,0.000314,3,100,0.125063,4,0.337796,0.391514
aves_aa_4R_auth_0163,personne,walther,corporation_des_barbiers_et_baigneurs,0.000311,0,56,0.165992,4,0.424138,0.461636
aves_aa_4R_auth_0812,personne,"bietenheim, sifrit",corporation_des_marchands_de_grains,0.000309,3,148,0.241314,4,0.393128,0.444783
aves_aa_4R_auth_0531,personne,"liebkint, oberlin",corporation_des_charrons,0.000304,1,56,0.23351,3,0.472396,0.498476
aves_aa_4R_auth_0615,personne,"seiler, zum, johanns",corporation_des_gourmets_et_courtiers,0.000297,2,56,0.217514,3,0.456401,0.485772
aves_aa_4R_auth_0195,personne,"bidermann, johanns",corporation_des_tonneliers,0.000294,0,56,0.180807,4,0.43139,0.467903
aves_aa_4R_auth_0174,personne,schweicker,corporation_des_pêcheurs,0.000291,0,56,0.178894,4,0.44952,0.480606
aves_aa_4R_auth_0821,personne,"gemersheim, von, laurentz",corporation_des_regrattiers_cordiers_et_fruitiers,0.000288,3,122,0.237015,4,0.404273,0.451558
aves_aa_4R_auth_0361,personne,"kerling, jacob",corporation_des_bouchers,0.000275,1,56,0.215155,4,0.445854,0.479505
aves_aa_4R_auth_0420,personne,"herde, von, andres",corporation_des_charrons,0.000275,1,56,0.220742,4,0.463932,0.492124
aves_aa_4R_auth_0247,personne,"hug, johanns",corporation_des_pêcheurs,0.00027,0,56,0.185325,4,0.43139,0.467903
aves_aa_4R_auth_0524,personne,johanns,corporation_des_crieurs_et_mesureurs_de_vin,0.00027,1,84,0.275818,4,0.465689,0.498222
aves_aa_4R_auth_0099,personne,"rüllin, claus",corporation_des_sauniers,0.000268,0,57,0.149059,4,0.412406,0.453845
aves_aa_4R_auth_0121,personne,"rottweil, von, erhart",corporation_des_marchands,0.000263,0,56,0.161805,4,0.41748,0.456301
aves_aa_4R_auth_0551,personne,"molsheim, von, johanns",corporation_des_barbiers_et_baigneurs,0.000263,2,56,0.230153,4,0.45283,0.482639
aves_aa_4R_auth_0146,personne,"seifenmacher, hug",corporation_des_orfevres,0.000261,0,55,0.168886,4,0.423955,0.461128
aves_aa_4R_auth_0848,personne,"hungerstein, konrat",corporation_des_gourmets_et_courtiers,0.00026,3,64,0.132181,4,0.378899,0.419377
aves_aa_4R_auth_0897,personne,"vendenheim, laurentz",corporation_des_tanneurs,0.000259,3,80,0.10444,4,0.359649,0.402947
aves_aa_4R_auth_0809,personne,"hegel, heinrich",corporation_des_gourmets_et_courtiers,0.000258,3,101,0.214332,4,0.41449,0.454268
aves_aa_4R_auth_0765,personne,"bösch, claus",corporation_des_charpentiers,0.000257,2,104,0.272808,3,0.434629,0.473916
aves_aa_4R_auth_0634,personne,"trense, johanns",corporation_des_jardiniers,0.000256,2,84,0.283675,3,0.439875,0.477812
aves_aa_4R_auth_0964,personne,"wingersheim, diebolt",corporation_des_drapiers,0.000253,3,60,0.071616,4,0.353575,0.392615
aves_aa_4R_auth_0911,personne,"dolde, blesin",corporation_des_bateliers,0.00025,3,80,0.108772,4,0.373718,0.41565
aves_aa_4R_auth_0916,personne,"lötschel, claus",corporation_des_maçons,0.00025,3,80,0.108772,4,0.373718,0.41565
aves_aa_4R_auth_0087,personne,"wassicher, heilmann",corporation_des_cabaretiers,0.000247,0,56,0.12943,4,0.408468,0.449272
aves_aa_4R_auth_0642,personne,"bosterer, johanns",corporation_des_crieurs_et_mesureurs_de_vin,0.000246,1,56,0.201602,3,0.435206,0.468327
aves_aa_4R_auth_0628,personne,"kiebel, ulrich",corporation_des_regrattiers_cordiers_et_fruitiers,0.000242,1,56,0.204648,3,0.447883,0.478489
aves_aa_4R_auth_0366,personne,"kühn, johanns",corporation_des_crieurs_et_mesureurs_de_vin,0.000238,1,60,0.217792,4,0.449726,0.483401
aves_aa_4R_auth_0362,personne,"sturmel, peter",corporation_des_maçons,0.000232,0,56,0.189968,4,0.446461,0.479167
aves_aa_4R_auth_0181,personne,"seltz, von, johanns",corporation_des_tailleurs,0.000231,0,56,0.172074,4,0.419616,0.460789
aves_aa_4R_auth_0612,personne,"griffe, heinrich",corporation_des_marchands_de_grains,0.000231,1,56,0.220268,3,0.461538,0.489837
aves_aa_4R_auth_0890,personne,"trüchtersheim, von, ruhlemann",corporation_des_forgerons,0.000227,3,84,0.134447,4,0.378753,0.423865
aves_aa_4R_auth_0432,personne,bernhart,corporation_des_cordonniers,0.000226,1,56,0.199872,4,0.443643,0.477049
aves_aa_4R_auth_0573,personne,"hirt, johanns",corporation_des_jardiniers,0.000225,1,56,0.198265,3,0.463932,0.490346
aves_aa_4R_auth_0638,personne,"bruder, stoffelus",corporation_des_cabaretiers,0.000223,2,84,0.258024,3,0.432148,0.469343
aves_aa_4R_auth_0096,personne,"martin, johanns",corporation_des_jardiniers,0.000221,0,56,0.146881,4,0.417126,0.457741
aves_aa_4R_auth_0014,personne,"westermann, johanns",corporation_des_pelletiers,0.000218,0,56,0.094208,5,0.374714,0.420088
aves_aa_4R_auth_0169,personne,"colmar, von, bechtolt",corporation_des_marchands,0.000218,0,56,0.194515,4,0.440072,0.473577
aves_aa_4R_auth_0165,personne,"pfaffenhoffen, johanns",corporation_des_gourmets_et_courtiers,0.000214,0,56,0.137229,4,0.407791,0.446392
aves_aa_4R_auth_0166,personne,"kistner, reinhart",corporation_des_charrons,0.000214,0,56,0.137229,4,0.407791,0.446392
aves_aa_4R_auth_0927,personne,"pfutzer, mattern",corporation_des_pelletiers,0.000213,3,80,0.100323,4,0.375573,0.419123
aves_aa_4R_auth_0161,personne,"rhinau, ottemann",corporation_des_crieurs_et_mesureurs_de_vin,0.00021,0,56,0.142403,4,0.425238,0.461636
aves_aa_4R_auth_0474,personne,"rohr, von, claus",corporation_des_cabaretiers,0.00021,1,56,0.246297,4,0.442645,0.477812
aves_aa_4R_auth_0856,personne,"brun, claus",corporation_des_marchands_de_grains,0.00021,3,88,0.14972,4,0.38051,0.424289
aves_aa_4R_auth_0123,personne,"schanlit, walther",corporation_des_tonneliers,0.000208,0,56,0.147973,4,0.414665,0.453506
aves_aa_4R_auth_0438,personne,"ricker, claus",corporation_des_gourmets_et_courtiers,0.000207,1,56,0.209622,4,0.435784,0.471799
aves_aa_4R_auth_0460,personne,"pfaffe, claus",corporation_des_pêcheurs,0.000207,1,56,0.229418,4,0.461538,0.490684
aves_aa_4R_auth_0539,personne,"graff, anshelm",corporation_des_pêcheurs,0.000202,1,56,0.226,3,0.456613,0.485264
aves_aa_4R_auth_0595,personne,"trachenfeils, diebolt",corporation_des_sauniers,0.000201,2,56,0.246521,3,0.457037,0.486619
aves_aa_4R_auth_0817,personne,"sanselmann, anthenie",corporation_des_tonneliers,0.000197,3,98,0.203832,4,0.399513,0.442243
aves_aa_4R_auth_0426,personne,"lahr, von, johanns",corporation_des_tanneurs,0.000196,1,56,0.189811,4,0.439678,0.474255
aves_aa_4R_auth_0954,personne,"löwe, konrat",corporation_des_orfevres,0.000195,3,60,0.066436,4,0.363502,0.401677
aves_aa_4R_auth_0955,personne,"russer, johanns",corporation_des_pêcheurs,0.000195,3,60,0.066436,4,0.363502,0.401677
aves_aa_4R_auth_0252,personne,"meiger, jeckel",corporation_des_boulangers,0.000194,0,56,0.174606,4,0.418902,0.457317
aves_aa_4R_auth_0413,personne,"messner, andres",corporation_des_cabaretiers,0.000193,0,56,0.217261,4,0.455556,0.486958
aves_aa_4R_auth_0654,personne,"hertzog, johanns",corporation_des_orfevres,0.000187,2,84,0.264592,3,0.438307,0.474763
aves_aa_4R_auth_0529,personne,"könig, claus",corporation_des_tisserands,0.000186,1,56,0.234036,3,0.467903,0.494411
aves_aa_4R_auth_0687,personne,"scheubelin, peter",corporation_des_barbiers_et_baigneurs,0.000186,2,82,0.283504,3,0.442049,0.47832
aves_aa_4R_auth_0402,personne,"wingersheim, dielmann",corporation_des_pelletiers,0.000185,0,84,0.269435,4,0.464151,0.497459
aves_aa_4R_auth_0757,personne,"armbruster, johanns",corporation_des_drapiers,0.000182,2,80,0.25038,3,0.440072,0.475949
aves_aa_4R_auth_0759,personne,"bisinger, heinrich",corporation_des_bateliers,0.000182,2,80,0.25038,3,0.440072,0.475949
aves_aa_4R_auth_0206,personne,"flach, johanns",corporation_des_barbiers_et_baigneurs,0.000179,0,56,0.151702,5,0.3936,0.440921
aves_aa_4R_auth_0542,personne,"gerbot, peter",corporation_des_charrons,0.000178,1,56,0.256524,3,0.463495,0.491701
aves_aa_4R_auth_0577,personne,"hügeler, bechtolt",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000178,1,57,0.252117,4,0.450549,0.48247
aves_aa_4R_auth_0192,personne,"martin, johanns",corporation_des_boulangers,0.000176,0,56,0.148782,5,0.390942,0.438042
aves_aa_4R_auth_0193,personne,"meister, heintz",corporation_des_bouchers,0.000176,0,56,0.148782,5,0.390942,0.438042
aves_aa_4R_auth_0201,personne,"haslach von, peter",corporation_des_charpentiers,0.000176,0,56,0.148782,5,0.390942,0.438042
aves_aa_4R_auth_0699,personne,"sankt-arbogast, ulrich",corporation_des_pêcheurs,0.000174,2,84,0.250838,3,0.428945,0.466463
aves_aa_4R_auth_0940,personne,"meiger, lexius",corporation_des_gourmets_et_courtiers,0.000171,3,61,0.067847,4,0.331202,0.374915
aves_aa_4R_auth_0114,personne,"berner, johanns",corporation_des_marchands_de_grains,0.000168,0,56,0.127107,5,0.384375,0.43042
aves_aa_4R_auth_0116,personne,"albrecht, johanns",corporation_des_barbiers_et_baigneurs,0.000168,0,56,0.127107,5,0.384375,0.43042
aves_aa_4R_auth_0885,personne,"happmacher, andres",corporation_des_orfevres,0.000168,3,88,0.148174,4,0.38051,0.424966
aves_aa_4R_auth_0651,personne,"hage, jacob",corporation_des_bateliers,0.000167,2,84,0.28572,3,0.432718,0.470528
aves_aa_4R_auth_0701,personne,"arge, peter",corporation_des_marchands,0.000167,2,85,0.264236,3,0.437333,0.473577
aves_aa_4R_auth_0588,personne,"gottfriet, fritsch",corporation_des_regrattiers_cordiers_et_fruitiers,0.000166,1,56,0.240304,3,0.460459,0.488652
aves_aa_4R_auth_0222,personne,"mannertrieb, diebolt",corporation_des_tisserands,0.000161,0,56,0.141488,4,0.412752,0.450373
aves_aa_4R_auth_0569,personne,"meistersheim, johanns",corporation_des_bouchers,0.000161,1,56,0.215919,3,0.460459,0.487974
aves_aa_4R_auth_0898,personne,"esslinger, matheus",corporation_des_tailleurs,0.000155,3,80,0.102739,4,0.339427,0.386602
aves_aa_4R_auth_0229,personne,"meiger, claus",corporation_des_bateliers,0.000154,0,55,0.159017,4,0.422862,0.459858
aves_aa_4R_auth_0682,personne,"berse, von, claus",corporation_des_bouchers,0.000153,2,84,0.280737,3,0.431201,0.469173
aves_aa_4R_auth_0373,personne,"rosemberg, küntz",corporation_des_forgerons,0.000152,1,56,0.235115,4,0.468795,0.495512
aves_aa_4R_auth_0279,personne,"schwob, johanns",corporation_des_boulangers,0.000151,0,57,0.174006,4,0.412579,0.454268
aves_aa_4R_auth_0289,personne,diebolt,corporation_des_gourmets_et_courtiers,0.000151,0,57,0.174006,4,0.412579,0.454268
aves_aa_4R_auth_0835,personne,"westhoffen, claus",corporation_des_tanneurs,0.000148,3,48,0.126747,3,0.407285,0.438008
aves_aa_4R_auth_0837,personne,"raubel, martin",corporation_des_charpentiers,0.000148,3,48,0.126747,3,0.407285,0.438008
aves_aa_4R_auth_0709,personne,"wolff, claus",corporation_des_cordonniers,0.000147,2,85,0.261606,3,0.431201,0.468496
aves_aa_4R_auth_0513,personne,"duntzenheim, claus",corporation_des_jardiniers,0.000145,1,56,0.22129,4,0.452414,0.482639
aves_aa_4R_auth_0967,personne,"bechtolt, diebolt",corporation_des_bouchers,0.000143,3,41,0.035842,4,0.342023,0.370935
aves_aa_4R_auth_0969,personne,"hungerstein, johanns",corporation_des_gourmets_et_courtiers,0.000143,3,41,0.035842,4,0.342023,0.370935
aves_aa_4R_auth_0970,personne,"hüseler, rudolff",corporation_des_cordonniers,0.000143,3,41,0.035842,4,0.342023,0.370935
aves_aa_4R_auth_0971,personne,"kupfer, johanns",corporation_des_maçons,0.000143,3,41,0.035842,4,0.342023,0.370935
aves_aa_4R_auth_0488,personne,"sporer, jacob",corporation_des_boulangers,0.00014,1,56,0.215531,4,0.442446,0.476626
aves_aa_4R_auth_0495,personne,"siffermann, burkhart",corporation_des_sauniers,0.00014,1,56,0.215531,4,0.442446,0.476626
aves_aa_4R_auth_0224,personne,"seiler, ruhlemann",corporation_des_regrattiers_cordiers_et_fruitiers,0.000139,0,56,0.152311,4,0.415015,0.452913
aves_aa_4R_auth_0291,personne,"voltz, claus",corporation_des_bouchers,0.000139,0,56,0.177556,4,0.423773,0.46062
aves_aa_4R_auth_0020,personne,"schwicker, johanns",corporation_des_pêcheurs,0.000138,0,56,0.101069,5,0.378316,0.423306
aves_aa_4R_auth_0944,personne,"wurm, jacob",corporation_des_cabaretiers,0.000131,3,62,0.055347,4,0.327236,0.368733
aves_aa_4R_auth_0839,personne,"slapp, johanns",corporation_des_pelletiers,0.00013,3,72,0.1347,4,0.380216,0.421917
aves_aa_4R_auth_0490,personne,"eckboltzheim, johanns",corporation_des_maçons,0.000128,1,56,0.222113,4,0.439678,0.474255
aves_aa_4R_auth_0863,personne,"seebott, ulrich",corporation_des_orfevres,0.000128,3,64,0.110748,4,0.378899,0.418699
aves_aa_4R_auth_0145,personne,"lamb, heitz",corporation_des_charpentiers,0.000127,0,55,0.156947,4,0.41449,0.452066
aves_aa_4R_auth_0690,personne,"gemersheim, von, andres",corporation_des_regrattiers_cordiers_et_fruitiers,0.000127,2,84,0.27242,3,0.434437,0.471037
aves_aa_4R_auth_0818,personne,"säckingen, von, johanns",corporation_des_drapiers,0.000127,3,98,0.210037,4,0.399675,0.442073
aves_aa_4R_auth_0395,personne,"büttener, claus",corporation_des_pêcheurs,0.000126,1,60,0.229244,4,0.457249,0.488652
aves_aa_4R_auth_0400,personne,gebhart,corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000126,1,60,0.229244,4,0.457249,0.488652
aves_aa_4R_auth_0876,personne,"bülle, johanns",corporation_des_pêcheurs,0.000126,3,88,0.129445,4,0.37759,0.420224
aves_aa_4R_auth_0129,personne,"hechde, claus",corporation_des_crieurs_et_mesureurs_de_vin,0.000124,0,55,0.143108,4,0.42579,0.461128
aves_aa_4R_auth_0444,personne,"meiger, heinrich",corporation_des_tonneliers,0.000122,1,56,0.20767,4,0.454503,0.483655
aves_aa_4R_auth_0358,personne,"rheinstett, von, fritsch",corporation_des_charrons,0.000121,0,56,0.220867,4,0.454503,0.485349
aves_aa_4R_auth_0257,personne,"wilgen, zur, jacob",corporation_des_crieurs_et_mesureurs_de_vin,0.000117,0,57,0.156119,5,0.394231,0.44126
aves_aa_4R_auth_0492,personne,"rippel, michel",corporation_des_charpentiers,0.000114,1,56,0.192712,4,0.447476,0.478913
aves_aa_4R_auth_0464,personne,"meister, johanns",corporation_des_bouchers,0.000112,1,56,0.242643,4,0.451998,0.484333
aves_aa_4R_auth_0407,personne,"villinger, bertsch",corporation_des_regrattiers_cordiers_et_fruitiers,0.000111,0,56,0.225273,4,0.450343,0.482215
aves_aa_4R_auth_0170,personne,"werde, claus",corporation_des_tanneurs,0.00011,0,56,0.159925,4,0.415716,0.453252
aves_aa_4R_auth_0862,personne,"armbruster, konrat",corporation_des_drapiers,0.000109,3,72,0.157886,4,0.385882,0.42937
aves_aa_4R_auth_0200,personne,"wasselnheim, von, johanns",corporation_des_pelletiers,0.000108,0,57,0.136534,5,0.386792,0.432791
aves_aa_4R_auth_0480,personne,"schindeler, konrat",corporation_des_gourmets_et_courtiers,0.000108,1,56,0.213957,4,0.452414,0.481623
aves_aa_4R_auth_0549,personne,"stumpf, johanns",corporation_des_marchands_de_grains,0.000103,1,56,0.232696,3,0.465909,0.492209
aves_aa_4R_auth_0875,personne,"gisebrecht, erhart",corporation_des_cordonniers,0.000101,3,64,0.09924,4,0.375716,0.413957
aves_aa_4R_auth_0877,personne,"rohrbosch, johanns",corporation_des_jardiniers,0.000101,3,64,0.09924,4,0.375716,0.413957
aves_aa_4R_auth_0691,personne,"keinne, bechtolt",corporation_des_coltineurs_de_tonneaux,0.000098,2,56,0.247567,3,0.434437,0.467988
aves_aa_4R_auth_0939,personne,"krug, claus",corporation_des_tanneurs,0.000093,3,60,0.075005,4,0.334012,0.377117
aves_aa_4R_auth_0403,personne,michel,corporation_des_charpentiers,0.000085,0,56,0.201987,4,0.454084,0.484079
aves_aa_4R_auth_0946,personne,"wolff, lienhart",corporation_des_boulangers,0.000084,3,40,0.052113,4,0.361499,0.395071
aves_aa_4R_auth_0949,personne,martin,corporation_des_cordonniers,0.000084,3,40,0.052113,4,0.361499,0.395071
aves_aa_4R_auth_0950,personne,"grimmel, kühne",corporation_des_jardiniers,0.000084,3,40,0.052113,4,0.361499,0.395071
aves_aa_4R_auth_0951,personne,"heil, peter",corporation_des_maçons,0.000084,3,40,0.052113,4,0.361499,0.395071
aves_aa_4R_auth_0633,personne,"ernst, martin",corporation_des_orfevres,0.000083,2,56,0.212888,3,0.430635,0.462907
aves_aa_4R_auth_0935,personne,"heinrich, johanns",corporation_des_cordonniers,0.000083,3,40,0.058401,4,0.363771,0.397358
aves_aa_4R_auth_0406,personne,"müsinger, johanns",corporation_des_barbiers_et_baigneurs,0.000078,0,56,0.228333,4,0.457674,0.487636
aves_aa_4R_auth_0824,personne,"hug, burkhart",corporation_des_forgerons,0.000078,3,48,0.127089,4,0.392971,0.427507
aves_aa_4R_auth_0790,personne,"olwisheim, von, peter",corporation_des_tisserands,0.000073,2,50,0.161595,3,0.42268,0.454607
aves_aa_4R_auth_0865,personne,"wachenheimer, peter",corporation_des_barbiers_et_baigneurs,0.000069,3,48,0.109296,4,0.386489,0.42395
aves_aa_4R_auth_0867,personne,"seelig, khurin",corporation_des_regrattiers_cordiers_et_fruitiers,0.000069,3,48,0.109296,4,0.386489,0.42395
aves_aa_4R_auth_0868,personne,"scholle, konrat",corporation_des_maçons,0.000069,3,48,0.109296,4,0.386489,0.42395
aves_aa_4R_auth_0811,personne,"bisinger, heinrich",corporation_des_orfevres,0.000064,3,76,0.1831,4,0.379923,0.424204
aves_aa_4R_auth_0822,personne,"villinger, erhart",corporation_des_marchands,0.000064,3,48,0.163528,3,0.417126,0.448001
aves_aa_4R_auth_0823,personne,"duntzenheim, von, symont",corporation_des_tailleurs,0.000064,3,48,0.163528,3,0.417126,0.448001
aves_aa_4R_auth_0785,personne,"rotschilt, wilhelm",corporation_des_bouchers,0.000062,2,52,0.175356,3,0.430446,0.461721
aves_aa_4R_auth_0788,personne,ulrich,corporation_des_barbiers_et_baigneurs,0.000062,2,52,0.175356,3,0.430446,0.461721
aves_aa_4R_auth_0791,personne,"rörich, claus",corporation_des_gourmets_et_courtiers,0.000062,2,52,0.175356,3,0.430446,0.461721
aves_aa_4R_auth_0792,personne,"riber, claus",corporation_des_regrattiers_cordiers_et_fruitiers,0.000062,2,52,0.175356,3,0.430446,0.461721
aves_aa_4R_auth_0776,personne,"renner, claus",corporation_des_marchands,0.000061,2,52,0.161115,3,0.43007,0.460027
aves_aa_4R_auth_0778,personne,"brümath, von, marx",corporation_des_tailleurs,0.000061,2,52,0.161115,3,0.43007,0.460027
aves_aa_4R_auth_0960,personne,"merckel, jost",corporation_des_cordonniers,0.000059,3,40,0.053852,4,0.360176,0.393377
aves_aa_4R_auth_0961,personne,"wolff, claus",corporation_des_jardiniers,0.000059,3,40,0.053852,4,0.360176,0.393377
aves_aa_4R_auth_0798,personne,"gosse, johanns",corporation_des_crieurs_et_mesureurs_de_vin,0.000057,2,53,0.154909,3,0.430635,0.460196
aves_aa_4R_auth_0799,personne,"hage, jacob",corporation_des_marchands_de_grains,0.000057,2,53,0.154909,3,0.430635,0.460196
aves_aa_4R_auth_0800,personne,"ruhlmann, kühne",corporation_des_pêcheurs,0.000057,2,53,0.154909,3,0.430635,0.460196
aves_aa_4R_auth_0900,personne,"jerger, johanns",corporation_des_bateliers,0.000051,3,40,0.070261,4,0.371742,0.404133
aves_aa_4R_auth_0905,personne,"württemberg, johanns",corporation_des_forgerons,0.000051,3,40,0.070261,4,0.371742,0.404133
aves_aa_4R_auth_0906,personne,"fallwehenne, konrat",corporation_des_maçons,0.000051,3,40,0.070261,4,0.371742,0.404133
aves_aa_4R_auth_0962,personne,"ingolt, johanns",corporation_des_marchands,0.000051,3,40,0.051332,4,0.350677,0.383299
aves_aa_4R_auth_0963,personne,"wernlin, claus",corporation_des_cabaretiers,0.000051,3,40,0.051332,4,0.350677,0.383299
aves_aa_4R_auth_0965,personne,"slapp, bernhart",corporation_des_pelletiers,0.000051,3,40,0.051332,4,0.350677,0.383299
aves_aa_4R_auth_0921,personne,"müge, florentz",corporation_des_tonneliers,0.000043,3,40,0.068933,4,0.36431,0.398374
aves_aa_4R_auth_0715,personne,"bechtolt, friedrich",corporation_des_bouchers,0.000037,2,56,0.202236,3,0.419795,0.451897
aves_aa_4R_auth_0718,personne,"schultheiss, claus",corporation_des_cordonniers,0.000037,2,56,0.202236,3,0.419795,0.451897
aves_aa_4R_auth_0720,personne,"worms, von, claus",corporation_des_barbiers_et_baigneurs,0.000037,2,56,0.202236,3,0.419795,0.451897
aves_aa_4R_auth_0803,personne,"bir, claus",corporation_des_forgerons,0.000036,2,53,0.156228,4,0.408299,0.440041
aves_aa_4R_auth_0805,personne,"bitsch, von, konrat",corporation_des_cordonniers,0.000036,2,53,0.156228,4,0.408299,0.440041
aves_aa_4R_auth_0807,personne,"brachenheim, von, peter",corporation_des_barbiers_et_baigneurs,0.000036,2,53,0.156228,4,0.408299,0.440041
aves_aa_4R_auth_0808,personne,"bisinger, johanns",corporation_des_sauniers,0.000036,2,53,0.156228,4,0.408299,0.440041
aves_aa_4R_auth_0902,personne,"armbruster, konrat",corporation_des_cabaretiers,0.000035,3,40,0.068002,4,0.333559,0.372713
aves_aa_4R_auth_0723,personne,"desche, johanns-heinrich",corporation_des_marchands,0.000034,2,56,0.188992,3,0.420513,0.451558
aves_aa_4R_auth_0725,personne,"dolle, bechtolt",corporation_des_tailleurs,0.000034,2,56,0.188992,3,0.420513,0.451558
aves_aa_4R_auth_0727,personne,"helwig, sifrit",corporation_des_pêcheurs,0.000034,2,56,0.188992,3,0.420513,0.451558
aves_aa_4R_auth_0730,personne,"lot, peter",corporation_des_huiliers_meuniers_et_tondeurs_de_draps,0.000034,2,56,0.188992,3,0.420513,0.451558
aves_aa_4R_auth_0892,personne,"flöss, johanns",corporation_des_cordonniers,0.000034,3,44,0.091978,4,0.365799,0.401507
aves_aa_4R_auth_0912,personne,"bechtolt, claus",corporation_des_bouchers,0.000031,3,40,0.07001,4,0.369786,0.401762
aves_aa_4R_auth_0913,personne,"vetter, claus",corporation_des_tonneliers,0.000031,3,40,0.07001,4,0.369786,0.401762
aves_aa_4R_auth_0914,personne,"rörich, johanns",corporation_des_gourmets_et_courtiers,0.000031,3,40,0.07001,4,0.369786,0.401762
aves_aa_4R_auth_0915,personne,"dachstein, von, johanns",corporation_des_forgerons,0.000031,3,40,0.07001,4,0.369786,0.401762
aves_aa_4R_auth_0750,personne,"volmar, thoman",corporation_des_tanneurs,0.000029,2,56,0.189117,3,0.419259,0.450373
aves_aa_4R_auth_0754,personne,"brüchelin, johanns-diebolt",corporation_des_pêcheurs,0.000029,2,56,0.189117,3,0.419259,0.450373
aves_aa_4R_auth_0740,personne,"brant, johanns",corporation_des_pelletiers,0.000028,2,56,0.175415,3,0.419795,0.450881
aves_aa_4R_auth_0742,personne,"bintz, claus",corporation_des_crieurs_et_mesureurs_de_vin,0.000028,2,56,0.175415,3,0.419795,0.450881
aves_aa_4R_auth_0743,personne,"schertzheim, johanns",corporation_des_charrons,0.000028,2,56,0.175415,3,0.419795,0.450881
aves_aa_4R_auth_0744,personne,"illkirch, von, laurentz",corporation_des_coltineurs_de_tonneaux,0.000028,2,56,0.175415,3,0.419795,0.450881
aves_aa_4R_auth_0981,personne,"arge, peter",corporation_des_bateliers,0.000026,3,41,0.037418,4,0.312977,0.347561
aves_aa_4R_auth_0982,personne,"riffe, jerge",corporation_des_sauniers,0.000026,3,41,0.037418,4,0.312977,0.347561
aves_aa_4R_auth_0983,personne,"schultheiss, martin",corporation_des_cordonniers,0.000026,3,41,0.037418,4,0.312977,0.347561
aves_aa_4R_auth_0838,personne,"pfeffinger, bernhart",corporation_des_drapiers,0.000023,3,48,0.111767,4,0.374287,0.408875
aves_aa_4R_auth_0843,personne,"rebestock, fritsch",corporation_des_jardiniers,0.000023,3,48,0.111767,4,0.374287,0.408875
aves_aa_4R_auth_0845,personne,"scholle, johanns",corporation_des_maçons,0.000023,3,48,0.111767,4,0.374287,0.408875
aves_aa_4R_auth_0956,personne,"strubel, symont",corporation_des_charrons,0.000023,3,40,0.051915,4,0.361632,0.395241
aves_aa_4R_auth_0937,personne,"ingolt, heinrich",corporation_des_marchands,0.000022,3,40,0.055493,4,0.33232,0.369495
aves_aa_4R_auth_0941,personne,"ebel, jerge",corporation_des_pêcheurs,0.000022,3,40,0.055493,4,0.33232,0.369495
aves_aa_4R_auth_0942,personne,"wangen, von, konrat",corporation_des_charrons,0.000022,3,40,0.055493,4,0.33232,0.369495
aves_aa_4R_auth_0972,personne,"riffe, jeronimus",corporation_des_marchands,0.000022,3,42,0.035136,4,0.315486,0.349255
aves_aa_4R_auth_0973,personne,"küller, jacob",corporation_des_drapiers,0.000022,3,42,0.035136,4,0.315486,0.349255
aves_aa_4R_auth_0974,personne,"molsheim, von, jacob",corporation_des_marchands_de_grains,0.000022,3,42,0.035136,4,0.315486,0.349255
aves_aa_4R_auth_0975,personne,"büre, von, oberlin",corporation_des_orfevres,0.000022,3,42,0.035136,4,0.315486,0.349255
aves_aa_4R_auth_0976,personne,"kornman, thoman",corporation_des_pelletiers,0.000022,3,42,0.035136,4,0.315486,0.349255
