authority,date,represents
aves_aa_4R_auth_0122,1405,group_10
aves_aa_4R_auth_0123,1405,group_11
aves_aa_4R_auth_0124,1405,group_12
aves_aa_4R_auth_0125,1405,group_13
aves_aa_4R_auth_0066,1405,group_14
aves_aa_4R_auth_0030,1405,group_15
aves_aa_4R_auth_0042,1405,group_16
aves_aa_4R_auth_0067,1405,group_17
aves_aa_4R_auth_0126,1405,group_18
aves_aa_4R_auth_0016,1405,group_19
aves_aa_4R_auth_0127,1405,group_20
aves_aa_4R_auth_0128,1405,group_21
aves_aa_4R_auth_0129,1405,group_22
aves_aa_4R_auth_0130,1405,group_23
aves_aa_4R_auth_0097,1405,group_24
aves_aa_4R_auth_0131,1405,group_25
aves_aa_4R_auth_0132,1405,group_26
aves_aa_4R_auth_0024,1405,group_27
aves_aa_4R_auth_0025,1405,group_28
aves_aa_4R_auth_0133,1405,group_29
aves_aa_4R_auth_0027,1405,group_30
aves_aa_4R_auth_0028,1405,group_31
aves_aa_4R_auth_0058,1405,group_32
aves_aa_4R_auth_0134,1406,group_05
aves_aa_4R_auth_0135,1406,group_06
aves_aa_4R_auth_0082,1406,group_07
aves_aa_4R_auth_0005,1406,group_09
aves_aa_4R_auth_0136,1406,group_08
aves_aa_4R_auth_0036,1406,group_10
aves_aa_4R_auth_0137,1406,group_11
aves_aa_4R_auth_0138,1406,group_12
aves_aa_4R_auth_0065,1406,group_13
aves_aa_4R_auth_0139,1406,group_14
aves_aa_4R_auth_0140,1406,group_15
aves_aa_4R_auth_0141,1406,group_16
aves_aa_4R_auth_0142,1406,group_17
aves_aa_4R_auth_0092,1406,group_19
aves_aa_4R_auth_0143,1406,group_20
aves_aa_4R_auth_0018,1406,group_21
aves_aa_4R_auth_0144,1406,group_22
aves_aa_4R_auth_0096,1406,group_23
aves_aa_4R_auth_0145,1406,group_24
aves_aa_4R_auth_0022,1406,group_25
aves_aa_4R_auth_0146,1406,group_26
aves_aa_4R_auth_0053,1406,group_27
aves_aa_4R_auth_0147,1406,group_28
aves_aa_4R_auth_0026,1406,group_29
aves_aa_4R_auth_0078,1406,group_30
aves_aa_4R_auth_0057,1406,group_31
aves_aa_4R_auth_0148,1406,group_32
aves_aa_4R_auth_0149,1408,group_05
aves_aa_4R_auth_0032,1408,group_06
aves_aa_4R_auth_0001,1408,group_07
aves_aa_4R_auth_0034,1408,group_09
aves_aa_4R_auth_0121,1408,group_08
aves_aa_4R_auth_0150,1408,group_10
aves_aa_4R_auth_0106,1408,group_11
aves_aa_4R_auth_0064,1408,group_12
aves_aa_4R_auth_0151,1408,group_13
aves_aa_4R_auth_0152,1408,group_14
aves_aa_4R_auth_0153,1408,group_15
aves_aa_4R_auth_0090,1408,group_16
aves_aa_4R_auth_0154,1408,group_17
aves_aa_4R_auth_0155,1408,group_18
aves_aa_4R_auth_0016,1408,group_19
aves_aa_4R_auth_0017,1408,group_20
aves_aa_4R_auth_0156,1408,group_21
aves_aa_4R_auth_0019,1408,group_22
aves_aa_4R_auth_0130,1408,group_23
aves_aa_4R_auth_0157,1408,group_24
aves_aa_4R_auth_0074,1408,group_25
aves_aa_4R_auth_0158,1408,group_26
aves_aa_4R_auth_0159,1408,group_27
aves_aa_4R_auth_0117,1408,group_28
aves_aa_4R_auth_0077,1408,group_29
aves_aa_4R_auth_0160,1408,group_30
aves_aa_4R_auth_0057,1408,group_31
aves_aa_4R_auth_0161,1408,group_32
aves_aa_4R_auth_0162,1409,group_05
aves_aa_4R_auth_0120,1409,group_06
aves_aa_4R_auth_0033,1409,group_07
aves_aa_4R_auth_0080,1409,group_09
aves_aa_4R_auth_0136,1409,group_08
aves_aa_4R_auth_0163,1409,group_10
aves_aa_4R_auth_0037,1409,group_11
aves_aa_4R_auth_0087,1409,group_12
aves_aa_4R_auth_0065,1409,group_13
aves_aa_4R_auth_0139,1409,group_14
aves_aa_4R_auth_0030,1409,group_15
aves_aa_4R_auth_0110,1409,group_16
aves_aa_4R_auth_0142,1409,group_17
aves_aa_4R_auth_0164,1409,group_18
aves_aa_4R_auth_0092,1409,group_19
aves_aa_4R_auth_0127,1409,group_20
aves_aa_4R_auth_0128,1409,group_21
aves_aa_4R_auth_0165,1409,group_22
aves_aa_4R_auth_0166,1409,group_23
aves_aa_4R_auth_0167,1409,group_24
aves_aa_4R_auth_0051,1409,group_25
aves_aa_4R_auth_0115,1409,group_26
aves_aa_4R_auth_0075,1409,group_27
aves_aa_4R_auth_0168,1409,group_28
aves_aa_4R_auth_0169,1409,group_29
aves_aa_4R_auth_0118,1409,group_30
aves_aa_4R_auth_0028,1409,group_31
aves_aa_4R_auth_0148,1409,group_32
aves_aa_4R_auth_0134,1410,group_05
aves_aa_4R_auth_0081,1410,group_06
aves_aa_4R_auth_0001,1410,group_07
aves_aa_4R_auth_0005,1410,group_09
aves_aa_4R_auth_0170,1410,group_08
aves_aa_4R_auth_0150,1410,group_10
aves_aa_4R_auth_0171,1410,group_11
aves_aa_4R_auth_0038,1410,group_12
aves_aa_4R_auth_0039,1410,group_13
aves_aa_4R_auth_0172,1410,group_14
aves_aa_4R_auth_0173,1410,group_15
aves_aa_4R_auth_0042,1410,group_16
aves_aa_4R_auth_0067,1410,group_17
aves_aa_4R_auth_0155,1410,group_18
aves_aa_4R_auth_0112,1410,group_19
aves_aa_4R_auth_0174,1410,group_20
aves_aa_4R_auth_0175,1410,group_21
aves_aa_4R_auth_0176,1410,group_22
aves_aa_4R_auth_0177,1410,group_23
aves_aa_4R_auth_0178,1410,group_24
aves_aa_4R_auth_0022,1410,group_25
aves_aa_4R_auth_0179,1410,group_26
aves_aa_4R_auth_0180,1410,group_27
aves_aa_4R_auth_0181,1410,group_28
aves_aa_4R_auth_0182,1410,group_29
aves_aa_4R_auth_0027,1410,group_30
aves_aa_4R_auth_0057,1410,group_31
aves_aa_4R_auth_0058,1410,group_32
aves_aa_4R_auth_0031,1411,group_05
aves_aa_4R_auth_0183,1411,group_06
aves_aa_4R_auth_0184,1411,group_07
aves_aa_4R_auth_0185,1411,group_09
aves_aa_4R_auth_0186,1411,group_08
aves_aa_4R_auth_0187,1411,group_10
aves_aa_4R_auth_0086,1411,group_11
aves_aa_4R_auth_0064,1411,group_12
aves_aa_4R_auth_0188,1411,group_13
aves_aa_4R_auth_0189,1411,group_14
aves_aa_4R_auth_0030,1411,group_15
aves_aa_4R_auth_0190,1411,group_16
aves_aa_4R_auth_0191,1411,group_17
aves_aa_4R_auth_0192,1411,group_18
aves_aa_4R_auth_0016,1411,group_19
aves_aa_4R_auth_0127,1411,group_20
aves_aa_4R_auth_0193,1411,group_21
aves_aa_4R_auth_0194,1411,group_22
aves_aa_4R_auth_0195,1411,group_23
aves_aa_4R_auth_0196,1411,group_24
aves_aa_4R_auth_0197,1411,group_25
aves_aa_4R_auth_0115,1411,group_26
aves_aa_4R_auth_0159,1411,group_27
aves_aa_4R_auth_0117,1411,group_28
aves_aa_4R_auth_0198,1411,group_29
aves_aa_4R_auth_0160,1411,group_30
aves_aa_4R_auth_0199,1411,group_31
aves_aa_4R_auth_0200,1411,group_32
aves_aa_4R_auth_0119,1412,group_05
aves_aa_4R_auth_0201,1412,group_06
aves_aa_4R_auth_0202,1412,group_07
aves_aa_4R_auth_0203,1412,group_09
aves_aa_4R_auth_0136,1412,group_08
aves_aa_4R_auth_0163,1412,group_10
aves_aa_4R_auth_0171,1412,group_11
aves_aa_4R_auth_0204,1412,group_12
aves_aa_4R_auth_0065,1412,group_13
aves_aa_4R_auth_0152,1412,group_14
aves_aa_4R_auth_0205,1412,group_15
aves_aa_4R_auth_0141,1412,group_16
aves_aa_4R_auth_0206,1412,group_17
aves_aa_4R_auth_0207,1412,group_18
aves_aa_4R_auth_0208,1412,group_20
aves_aa_4R_auth_0092,1412,group_19
aves_aa_4R_auth_0094,1412,group_21
aves_aa_4R_auth_0209,1412,group_22
aves_aa_4R_auth_0130,1412,group_23
aves_aa_4R_auth_0157,1412,group_24
aves_aa_4R_auth_0022,1412,group_25
aves_aa_4R_auth_0210,1412,group_26
aves_aa_4R_auth_0075,1412,group_27
aves_aa_4R_auth_0211,1412,group_28
aves_aa_4R_auth_0212,1412,group_29
aves_aa_4R_auth_0118,1412,group_30
aves_aa_4R_auth_0057,1412,group_31
aves_aa_4R_auth_0213,1412,group_09
aves_aa_4R_auth_0214,1413,group_05
aves_aa_4R_auth_0081,1413,group_06
aves_aa_4R_auth_0082,1413,group_07
aves_aa_4R_auth_0080,1413,group_09
aves_aa_4R_auth_0215,1413,group_08
aves_aa_4R_auth_0150,1413,group_10
aves_aa_4R_auth_0037,1413,group_11
aves_aa_4R_auth_0216,1413,group_13
aves_aa_4R_auth_0139,1413,group_14
aves_aa_4R_auth_0217,1413,group_15
aves_aa_4R_auth_0042,1413,group_16
aves_aa_4R_auth_0218,1413,group_17
aves_aa_4R_auth_0126,1413,group_18
aves_aa_4R_auth_0219,1413,group_19
aves_aa_4R_auth_0220,1413,group_20
aves_aa_4R_auth_0128,1413,group_21
aves_aa_4R_auth_0019,1413,group_22
aves_aa_4R_auth_0221,1413,group_23
aves_aa_4R_auth_0050,1413,group_24
aves_aa_4R_auth_0222,1413,group_25
aves_aa_4R_auth_0023,1413,group_26
aves_aa_4R_auth_0053,1413,group_27
aves_aa_4R_auth_0025,1413,group_28
aves_aa_4R_auth_0223,1413,group_29
aves_aa_4R_auth_0160,1413,group_30
aves_aa_4R_auth_0028,1413,group_31
aves_aa_4R_auth_0224,1413,group_32
aves_aa_4R_auth_0225,1414,group_05
aves_aa_4R_auth_0183,1414,group_06
aves_aa_4R_auth_0184,1414,group_07
aves_aa_4R_auth_0226,1414,group_09
aves_aa_4R_auth_0227,1414,group_08
aves_aa_4R_auth_0228,1414,group_10
aves_aa_4R_auth_0229,1414,group_11
aves_aa_4R_auth_0038,1414,group_12
aves_aa_4R_auth_0065,1414,group_13
aves_aa_4R_auth_0230,1414,group_14
aves_aa_4R_auth_0140,1414,group_15
aves_aa_4R_auth_0231,1414,group_16
aves_aa_4R_auth_0191,1414,group_17
aves_aa_4R_auth_0232,1414,group_18
aves_aa_4R_auth_0112,1414,group_19
aves_aa_4R_auth_0233,1414,group_20
aves_aa_4R_auth_0113,1414,group_21
aves_aa_4R_auth_0234,1414,group_22
aves_aa_4R_auth_0235,1414,group_23
aves_aa_4R_auth_0114,1414,group_24
aves_aa_4R_auth_0022,1414,group_25
aves_aa_4R_auth_0210,1414,group_26
aves_aa_4R_auth_0024,1414,group_27
aves_aa_4R_auth_0236,1414,group_28
aves_aa_4R_auth_0198,1414,group_29
aves_aa_4R_auth_0027,1414,group_30
aves_aa_4R_auth_0057,1414,group_31
aves_aa_4R_auth_0237,1414,group_32
aves_aa_4R_auth_0031,1415,group_05
aves_aa_4R_auth_0239,1415,group_06
aves_aa_4R_auth_0082,1415,group_07
aves_aa_4R_auth_0080,1415,group_09
aves_aa_4R_auth_0240,1415,group_08
aves_aa_4R_auth_0007,1415,group_10
aves_aa_4R_auth_0241,1415,group_11
aves_aa_4R_auth_0242,1415,group_12
aves_aa_4R_auth_0216,1415,group_13
aves_aa_4R_auth_0172,1415,group_14
aves_aa_4R_auth_0243,1415,group_15
aves_aa_4R_auth_0042,1415,group_16
aves_aa_4R_auth_0206,1415,group_17
aves_aa_4R_auth_0244,1415,group_18
aves_aa_4R_auth_0245,1415,group_19
aves_aa_4R_auth_0127,1415,group_20
aves_aa_4R_auth_0128,1415,group_21
aves_aa_4R_auth_0095,1415,group_22
aves_aa_4R_auth_0246,1415,group_23
aves_aa_4R_auth_0097,1415,group_24
aves_aa_4R_auth_0051,1415,group_25
aves_aa_4R_auth_0247,1415,group_26
aves_aa_4R_auth_0248,1415,group_27
aves_aa_4R_auth_0249,1415,group_28
aves_aa_4R_auth_0250,1415,group_29
aves_aa_4R_auth_0160,1415,group_30
aves_aa_4R_auth_0028,1415,group_31
aves_aa_4R_auth_0251,1415,group_32
aves_aa_4R_auth_0059,1416,group_05
aves_aa_4R_auth_0135,1416,group_06
aves_aa_4R_auth_0252,1416,group_07
aves_aa_4R_auth_0253,1416,group_09
aves_aa_4R_auth_0254,1416,group_08
aves_aa_4R_auth_0036,1416,group_10
aves_aa_4R_auth_0137,1416,group_11
aves_aa_4R_auth_0087,1416,group_12
aves_aa_4R_auth_0255,1416,group_13
aves_aa_4R_auth_0256,1416,group_14
aves_aa_4R_auth_0257,1416,group_15
aves_aa_4R_auth_0258,1416,group_16
aves_aa_4R_auth_0259,1416,group_17
aves_aa_4R_auth_0232,1416,group_18
aves_aa_4R_auth_0260,1416,group_19
aves_aa_4R_auth_0220,1416,group_20
aves_aa_4R_auth_0094,1416,group_21
aves_aa_4R_auth_0261,1416,group_22
aves_aa_4R_auth_0166,1416,group_23
aves_aa_4R_auth_0262,1416,group_24
aves_aa_4R_auth_0022,1416,group_25
aves_aa_4R_auth_0023,1416,group_26
aves_aa_4R_auth_0263,1416,group_27
aves_aa_4R_auth_0168,1416,group_28
aves_aa_4R_auth_0101,1416,group_29
aves_aa_4R_auth_0118,1416,group_30
aves_aa_4R_auth_0057,1416,group_31
aves_aa_4R_auth_0264,1416,group_32
aves_aa_4R_auth_0031,1417,group_05
aves_aa_4R_auth_0265,1417,group_06
aves_aa_4R_auth_0238,1417,group_07
aves_aa_4R_auth_0080,1417,group_09
aves_aa_4R_auth_0266,1417,group_08
aves_aa_4R_auth_0267,1417,group_10
aves_aa_4R_auth_0268,1417,group_11
aves_aa_4R_auth_0269,1417,group_12
aves_aa_4R_auth_0188,1417,group_13
aves_aa_4R_auth_0270,1417,group_14
aves_aa_4R_auth_0173,1417,group_15
aves_aa_4R_auth_0190,1417,group_16
aves_aa_4R_auth_0271,1417,group_17
aves_aa_4R_auth_0244,1417,group_18
aves_aa_4R_auth_0112,1417,group_19
aves_aa_4R_auth_0272,1417,group_20
aves_aa_4R_auth_0193,1417,group_21
aves_aa_4R_auth_0019,1417,group_22
aves_aa_4R_auth_0273,1417,group_23
aves_aa_4R_auth_0167,1417,group_24
aves_aa_4R_auth_0098,1417,group_25
aves_aa_4R_auth_0052,1417,group_26
aves_aa_4R_auth_0274,1417,group_27
aves_aa_4R_auth_0211,1417,group_28
aves_aa_4R_auth_0169,1417,group_29
aves_aa_4R_auth_0160,1417,group_30
aves_aa_4R_auth_0275,1417,group_31
aves_aa_4R_auth_0251,1417,group_32
aves_aa_4R_auth_0059,1418,group_05
aves_aa_4R_auth_0239,1418,group_06
aves_aa_4R_auth_0276,1418,group_07
aves_aa_4R_auth_0005,1418,group_09
aves_aa_4R_auth_0136,1418,group_08
aves_aa_4R_auth_0277,1418,group_10
aves_aa_4R_auth_0137,1418,group_11
aves_aa_4R_auth_0242,1418,group_12
aves_aa_4R_auth_0216,1418,group_13
aves_aa_4R_auth_0278,1418,group_14
aves_aa_4R_auth_0153,1418,group_15
aves_aa_4R_auth_0231,1418,group_16
aves_aa_4R_auth_0279,1418,group_17
aves_aa_4R_auth_0232,1418,group_18
aves_aa_4R_auth_0280,1418,group_19
aves_aa_4R_auth_0233,1418,group_20
aves_aa_4R_auth_0094,1418,group_21
aves_aa_4R_auth_0281,1418,group_22
aves_aa_4R_auth_0282,1418,group_23
aves_aa_4R_auth_0178,1418,group_24
aves_aa_4R_auth_0222,1418,group_25
aves_aa_4R_auth_0283,1418,group_26
aves_aa_4R_auth_0284,1418,group_27
aves_aa_4R_auth_0168,1418,group_28
aves_aa_4R_auth_0212,1418,group_29
aves_aa_4R_auth_0118,1418,group_30
aves_aa_4R_auth_0285,1418,group_31
aves_aa_4R_auth_0286,1418,group_32
aves_aa_4R_auth_0287,1419,group_05
aves_aa_4R_auth_0120,1419,group_06
aves_aa_4R_auth_0238,1419,group_07
aves_aa_4R_auth_0080,1419,group_09
aves_aa_4R_auth_0240,1419,group_08
aves_aa_4R_auth_0007,1419,group_10
aves_aa_4R_auth_0288,1419,group_11
aves_aa_4R_auth_0038,1419,group_12
aves_aa_4R_auth_0065,1419,group_13
aves_aa_4R_auth_0289,1419,group_14
aves_aa_4R_auth_0217,1419,group_15
aves_aa_4R_auth_0258,1419,group_16
aves_aa_4R_auth_0290,1419,group_17
aves_aa_4R_auth_0291,1419,group_18
aves_aa_4R_auth_0292,1419,group_19
aves_aa_4R_auth_0293,1419,group_20
aves_aa_4R_auth_0128,1419,group_21
aves_aa_4R_auth_0294,1419,group_22
aves_aa_4R_auth_0096,1419,group_23
aves_aa_4R_auth_0196,1419,group_24
aves_aa_4R_auth_0295,1419,group_25
aves_aa_4R_auth_0247,1419,group_26
aves_aa_4R_auth_0296,1419,group_27
aves_aa_4R_auth_0168,1419,group_28
aves_aa_4R_auth_0297,1419,group_29
aves_aa_4R_auth_0160,1419,group_30
aves_aa_4R_auth_0057,1419,group_31
aves_aa_4R_auth_0264,1419,group_32
aves_aa_4R_auth_0031,1420,group_05
aves_aa_4R_auth_0265,1420,group_06
aves_aa_4R_auth_0276,1420,group_07
aves_aa_4R_auth_0298,1420,group_09
aves_aa_4R_auth_0254,1420,group_08
aves_aa_4R_auth_0299,1420,group_10
aves_aa_4R_auth_0268,1420,group_11
aves_aa_4R_auth_0087,1420,group_12
aves_aa_4R_auth_0039,1420,group_13
aves_aa_4R_auth_0230,1420,group_14
aves_aa_4R_auth_0300,1420,group_15
aves_aa_4R_auth_0231,1420,group_16
aves_aa_4R_auth_0301,1420,group_17
aves_aa_4R_auth_0232,1420,group_18
aves_aa_4R_auth_0112,1420,group_19
aves_aa_4R_auth_0143,1420,group_20
aves_aa_4R_auth_0302,1420,group_21
aves_aa_4R_auth_0303,1420,group_22
aves_aa_4R_auth_0304,1420,group_23
aves_aa_4R_auth_0157,1420,group_24
aves_aa_4R_auth_0022,1420,group_25
aves_aa_4R_auth_0283,1420,group_26
aves_aa_4R_auth_0274,1420,group_27
aves_aa_4R_auth_0305,1420,group_28
aves_aa_4R_auth_0101,1420,group_29
aves_aa_4R_auth_0306,1420,group_30
aves_aa_4R_auth_0028,1420,group_31
aves_aa_4R_auth_0251,1420,group_32
aves_aa_4R_auth_0307,1421,group_05
aves_aa_4R_auth_0308,1421,group_06
aves_aa_4R_auth_0309,1421,group_07
aves_aa_4R_auth_0185,1421,group_09
aves_aa_4R_auth_0215,1421,group_08
aves_aa_4R_auth_0228,1421,group_10
aves_aa_4R_auth_0310,1421,group_11
aves_aa_4R_auth_0009,1421,group_12
aves_aa_4R_auth_0311,1421,group_13
aves_aa_4R_auth_0312,1421,group_14
aves_aa_4R_auth_0313,1421,group_15
aves_aa_4R_auth_0141,1421,group_16
aves_aa_4R_auth_0314,1421,group_17
aves_aa_4R_auth_0291,1421,group_18
aves_aa_4R_auth_0315,1421,group_19
