authority,date,role,represents,represents_in
aves_aa_4R_auth_0981,1444,group_50,,group_25
aves_aa_4R_auth_0980,1444,group_50,,group_25
aves_aa_4R_auth_0979,1444,group_50,,group_25
aves_aa_4R_auth_0978,1444,group_50,,group_25
aves_aa_4R_auth_0977,1444,group_50,,group_21
aves_aa_4R_auth_0976,1444,group_50,,group_21
aves_aa_4R_auth_0975,1444,group_50,,group_09
aves_aa_4R_auth_0974,1444,group_50,,group_09
aves_aa_4R_auth_0973,1444,group_50,,group_09
aves_aa_4R_auth_0972,1444,group_50,,group_09
aves_aa_4R_auth_0971,1444,group_50,,group_09
aves_aa_4R_auth_0970,1444,group_50,,group_09
aves_aa_4R_auth_0969,1444,group_50,,group_09
aves_aa_4R_auth_0968,1444,group_50,group_40,group_11
aves_aa_4R_auth_0967,1444,group_50,group_40,group_11
aves_aa_4R_auth_0966,1444,group_50,group_40,group_11
aves_aa_4R_auth_0965,1444,group_50,group_40,group_11
aves_aa_4R_auth_0964,1444,group_50,group_40,group_11
aves_aa_4R_auth_0963,1444,group_50,group_40,group_11
aves_aa_4R_auth_0962,1444,group_50,group_46,group_07
aves_aa_4R_auth_0961,1444,group_50,group_46,group_07
aves_aa_4R_auth_0960,1444,group_50,group_46,group_07
aves_aa_4R_auth_0959,1444,group_50,group_44,group_05
aves_aa_4R_auth_0958,1444,group_50,group_44,group_05
aves_aa_4R_auth_0957,1444,group_50,group_44,group_05
aves_aa_4R_auth_0956,1444,group_50,group_44,group_05
aves_aa_4R_auth_0955,1444,group_50,group_44,group_05
aves_aa_4R_auth_0954,1444,group_50,group_44,group_05
aves_aa_4R_auth_0953,1444,group_50,group_44,group_05
aves_aa_4R_auth_0952,1444,group_50,group_44,group_05
aves_aa_4R_auth_0951,1444,group_50,group_44,group_05
aves_aa_4R_auth_0950,1444,group_50,group_42,group_15
aves_aa_4R_auth_0949,1444,group_50,group_41,group_15
aves_aa_4R_auth_0948,1444,group_50,group_41,group_15
aves_aa_4R_auth_0947,1444,group_50,group_41,group_15
aves_aa_4R_auth_0946,1444,group_50,group_43,group_15
aves_aa_4R_auth_0945,1444,group_50,group_43,group_15
aves_aa_4R_auth_0944,1444,group_50,group_43,group_15
aves_aa_4R_auth_0943,1444,group_50,group_43,group_15
aves_aa_4R_auth_0942,1444,group_50,group_43,group_15
aves_aa_4R_auth_0941,1444,group_50,group_43,group_15
aves_aa_4R_auth_0940,1444,group_50,group_43,group_15
aves_aa_4R_auth_0939,1444,group_50,group_43,group_15
aves_aa_4R_auth_0938,1444,group_50,group_39,group_15
aves_aa_4R_auth_0937,1444,group_50,group_39,group_15
aves_aa_4R_auth_0936,1444,group_50,group_39,group_15
aves_aa_4R_auth_0935,1444,group_50,group_39,group_15
aves_aa_4R_auth_0933,1444,group_50,,group_26
aves_aa_4R_auth_0932,1444,group_50,,group_09
aves_aa_4R_auth_0775,1471,group_49,group_05,group_01
aves_aa_4R_auth_0775,1472,group_49,group_05,group_01
aves_aa_4R_auth_0775,1444,group_50,group_44,group_05
aves_aa_4R_auth_0750,1467,group_49,group_15,group_01
aves_aa_4R_auth_0750,1444,group_50,group_44,group_05
aves_aa_4R_auth_0740,1466,group_49,group_07,group_01
aves_aa_4R_auth_0740,1467,group_49,group_07,group_01
aves_aa_4R_auth_0740,1444,group_50,group_46,group_07
aves_aa_4R_auth_0715,1462,group_49,group_15,group_01
aves_aa_4R_auth_0715,1463,group_49,group_15,group_01
aves_aa_4R_auth_0715,1466,group_49,group_15,group_01
aves_aa_4R_auth_0715,1444,group_50,group_39,group_15
aves_aa_4R_auth_0712,1462,group_49,group_08,group_01
aves_aa_4R_auth_0712,1463,group_49,group_08,group_01
aves_aa_4R_auth_0712,1444,group_50,,group_08
aves_aa_4R_auth_0699,1459,group_49,group_18,group_01
aves_aa_4R_auth_0699,1460,group_49,group_18,group_01
aves_aa_4R_auth_0699,1444,group_50,group_66,group_18
aves_aa_4R_auth_0673,1455,group_49,group_29,group_01
aves_aa_4R_auth_0673,1444,group_50,group_67,group_29
aves_aa_4R_auth_0672,1455,group_49,group_25,group_01
aves_aa_4R_auth_0672,1444,group_50,,group_25
aves_aa_4R_auth_0669,1455,group_49,group_20,group_01
aves_aa_4R_auth_0669,1444,group_50,group_71,group_20
aves_aa_4R_auth_0667,1455,group_49,group_15,group_01
aves_aa_4R_auth_0667,1444,group_50,group_39,group_15
aves_aa_4R_auth_0663,1455,group_49,group_07,group_01
aves_aa_4R_auth_0663,1444,group_50,group_46,group_07
aves_aa_4R_auth_0661,1455,group_49,group_05,group_01
aves_aa_4R_auth_0661,1461,group_49,group_05,group_01
aves_aa_4R_auth_0661,1462,group_49,group_05,group_01
aves_aa_4R_auth_0661,1444,group_50,group_44,group_05
aves_aa_4R_auth_0658,1454,group_49,group_21,group_01
aves_aa_4R_auth_0658,1444,group_50,,group_21
aves_aa_4R_auth_0654,1454,group_49,group_08,group_01
aves_aa_4R_auth_0654,1444,group_50,,group_08
aves_aa_4R_auth_0652,1454,group_49,group_05,group_01
aves_aa_4R_auth_0652,1444,group_50,group_44,group_05
aves_aa_4R_auth_0650,1453,group_49,group_29,group_01
aves_aa_4R_auth_0650,1458,group_49,group_29,group_01
aves_aa_4R_auth_0650,1459,group_49,group_29,group_01
aves_aa_4R_auth_0650,1444,group_50,group_73,group_29
aves_aa_4R_auth_0646,1453,group_49,group_23,group_01
aves_aa_4R_auth_0646,1444,group_50,group_45,group_23
aves_aa_4R_auth_0641,1453,group_49,group_05,group_01
aves_aa_4R_auth_0641,1444,group_50,group_44,group_05
aves_aa_4R_auth_0639,1452,group_49,group_24,group_01
aves_aa_4R_auth_0639,1444,group_50,group_64,group_24
aves_aa_4R_auth_0631,1452,group_49,group_06,group_01
aves_aa_4R_auth_0631,1444,group_50,,group_06
