,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,NomCompletNN
0,stettmeister,1449,Rudolff,"Bülach, von",von Buͦlach,,constoffeler,,Ruͦdolff,Zorn,her Ruͦdolff Zorn von Buͦlach ritter
1,stettmeister,1449,Burkhart,"Müllenheim, von",,,constoffeler,,Burckart,von Mùlnheim,her Burckart von Mùlnheim ritter
2,stettmeister,1449,Johanns-Konrat,Bock,,,constoffeler,,Hannßconrat,Bock,her Hannßconrat Bock
3,stettmeister,1449,Johanns,Ellenhart,,der jung,constoffeler,,Hanns,Elhart,her Hanns Elhart der jung
4,ammeister,1449,Lienhart,Trachenfeils,,,echevinat,,Leonhart,Trachenfeils,her Leonhart Trachenfeils der ammeister
5,conseiller_des_constaffel,1449,Johanns-Heinrich,Hüffelin,,,constoffeler,,Hannsheinrich,Hùffel,her Hannsheinrich Hùffel
6,conseiller_des_constaffel,1449,Claus,Lentzelin,,,constoffeler,,Claus,Lentzel,her Claus Lentzel
7,conseiller_des_constaffel,1449,Bernhart,Mürsel,,,constoffeler,,Bernhart,Mùrsel,her Bernhart Mùrsel
8,conseiller_des_constaffel,1449,Johanns,Hiltebrant,Hiltbrant,,constoffeler,,Hanns,von Mùlnheim,her Hanns von Mùlnheim genant Hiltbrant
9,conseiller_des_constaffel,1449,Dietrich,Burggraf,,,constoffeler,,Dietrich,Burggraf,her Dietrich Burggraf
10,conseiller_des_constaffel,1449,Bechtolt,Schultheiss,Schultheiss,,constoffeler,,Berhtolt,Zorn,Berhtolt Zorn genant Schultheiss
11,conseiller_des_constaffel,1449,Claus,Böckel,,,constoffeler,,Claus,Boͤckel,Claus Boͤckel
12,conseiller_des_constaffel,1449,Jerge,Berer,,,constoffeler,,Joͤrg,Berer,Joͤrg Berer
13,conseiller_des_constaffel,1449,Thoman,Pfaffenlapp,,,constoffeler,,Thoman,Pfaffenlap,Thoman Pfaffenlap
14,conseiller_des_constaffel,1449,Johanns,Blenckel,,,constoffeler,,Hanns,Blenckel,Hanns Blenckel
15,conseiller_des_marchands,1449,Bernhart,Wormser,,,echevinat,corporation_des_marchands,Bernhart,Wurmsser,Bernhart Wurmsser
16,conseiller_des_boulangers,1449,Walther,Dürr,,,echevinat,corporation_des_boulangers,Walther,Dùrre,Walther Dùrre
17,conseiller_des_bouchers,1449,Völtz,Wormser,,,echevinat,corporation_des_bouchers,Voltz,Wurmsser,Voltz Wurmsser
18,conseiller_des_tonneliers,1449,Wernher,"Steinstrasse, an",an steinstrasse,,echevinat,corporation_des_tonneliers,Wernlin,,Wernlin an steinstrasse
19,conseiller_des_drapiers,1449,Konrat,Armbruster,,,echevinat,corporation_des_drapiers,Conrat,Armbruster,her Conrat Armbruster altammeister
20,conseiller_des_tanneurs,1449,Claus,Duntzenheim,,,echevinat,corporation_des_tanneurs,Claus,Duntzenheim,Claus Duntzenheim
21,conseiller_des_cabaretiers,1449,Stoffelus,Bruder,,,echevinat,corporation_des_cabaretiers,Stoffelus,Brùder,Stoffelus Brùder
22,conseiller_des_maçons,1449,Friedrich,Kacheler,,,echevinat,corporation_des_maçons,Friderich,Kacheler,Friderich Kacheler
23,conseiller_des_forgerons,1449,Heinrich,Meiger,,,echevinat,corporation_des_forgerons,Heinrich,Meyger,her Heinrich Meyger altammeister
24,conseiller_des_tailleurs,1449,Johanns,Hüss,,,echevinat,corporation_des_tailleurs,Hanns,Hùsse,Hanns Hùsse
25,conseiller_des_bateliers,1449,Caspar,Doppeler,,,echevinat,corporation_des_bateliers,Caspar,Doppeler,Caspar Doppeler
26,conseiller_des_pelletiers,1449,Claus,Wissensee,,,echevinat,corporation_des_pelletiers,Claus,Wissensee,Claus Wissensee
