,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,NomCompletNN
0,stettmeister,1998,Wirich,Böckel,,,constoffeler,,Wirich,Böcklin,her Wirich Böcklin ritter
1,stettmeister,1998,Friedrich,Bock,,,constoffeler,,Friderich,Bock,her Friderich Bock ritter
2,stettmeister,1998,Johann,Spender,,,constoffeler,,Hans,Spender,her Hans Spender ritter
3,stettmeister,1998,Jerge,Berer,,,constoffeler,,Jörge,Berer,her Jörge Berer
4,ammeister,1998,Jacob,Wurm,,,echevinat,,Jacob,Worm,her Jacob Worm der ammeister
5,conseiller_des_constaffel,1998,Johann,"Säckingen, von",,,constoffeler,,Hans,von Seckingen,her Hans von Seckingen ritter
6,conseiller_des_constaffel,1998,Johanns-Wilhelm,,züm Riet,,constoffeler,,Hanswilhelm,,her Hanswilhelm züm Riet ritter
7,conseiller_des_constaffel,1998,Ludwig,Böckel,,,constoffeler,,Ludwig,Böcklin,her Ludwig Böcklin ritter
8,conseiller_des_constaffel,1998,Sigel,Völtsch,,,constoffeler,,Sigelin,Völtsch,Sigelin Völtsch
9,conseiller_des_constaffel,1998,Diebolt,"Müllenheim, von",,,constoffeler,,Diebolt,von Mùlnheim,Diebolt von Mùlnheim
10,conseiller_des_constaffel,1998,Jerge,Zorn,von Bͦuͦlach,,constoffeler,,Jörge,Zorn,Jörge Zorn von Bͦuͦlach
11,conseiller_des_bateliers,1998,Peter,Arge,,,echevinat,corporation_des_bateliers,Peter,Arge,Peter Arge
12,conseiller_des_marchands,1998,Jeronimus,Riffe,,,echevinat,corporation_des_marchands,Jeronimus,Riff,Jeronimus Riff
13,conseiller_des_bouchers,1998,Jacob,Wisebach,,,echevinat,corporation_des_bouchers,Jacob,Wysebach,her Jacob Wysebach altammeister
14,conseiller_des_cabarretiers,1998,Jacob,Gerbot,,,echevinat,corporation_des_cabarretiers,Jacob,Gerbott,Jacob Gerbott
15,conseiller_des_drapiers,1998,Jacob,Küller,,,echevinat,corporation_des_drapiers,Jacob,Küller,Jacob Küller
16,conseiller_des_marchands_de_grains,1998,Jacob,"Molsheim, von",,,echevinat,corporation_des_marchands_de_grains,Jacob,von Molsheim,Jacob von Molsheim
17,conseiller_des_sauniers,1998,Jerge,Riffe,,,echevinat,corporation_des_sauniers,Jörge,Riff,Jörge Riff
18,conseiller_des_orfevres,1998,Oberlin,"Büre, von",,,echevinat,corporation_des_orfevres,Oberlin,von Bùre,Oberlin von Bùre
19,conseiller_des_boulangers,1998,Johann,Waldener,,,echevinat,corporation_des_boulangers,Hans,Waldener,Hans Waldener
20,conseiller_des_pelletiers,1998,Thoman,Kornman,,,echevinat,corporation_des_pelletiers,Thomann,Kornman,Thomann Kornman
21,conseiller_des_tonneliers,1998,Johann,Konrat,,,echevinat,corporation_des_tonneliers,Hans,Conrat,Hans Conrat
22,conseiller_des_tanneurs,1998,Johann,Missbach,,,echevinat,corporation_des_tanneurs,Hans,Mißbach,Hans Mißbach
23,conseiller_des_gourmets_et_courtiers,1998,Lexius,Meiger,,,echevinat,corporation_des_gourmets_et_courtiers,Lecius,Meÿger,Lecius Meÿger
24,conseiller_des_tailleurs,1998,Konrat,Lume,,,echevinat,corporation_des_tailleurs,Conrat,Lume,Conrat Lume
25,conseiller_des_forgerons,1998,Johann,"Truchtersheim, von",,,echevinat,corporation_des_forgerons,Hans,von Druhtersheim,Hans von Druhtersheim
26,conseiller_des_cordonniers,1998,Martin,Schultheiss,Win und Brot,,echevinat,corporation_des_cordonniers,Martin,Schultheiss,Martin Schultheiss genant Win und Brot
27,conseiller_des_pêcheurs,1998,Johann,Schwende,,der junge,echevinat,corporation_des_pêcheurs,Hans,Swende,Hans Swende der junge
28,conseiller_des_charrons,1998,Johanns-Claus,Arbogast,,,echevinat,corporation_des_charrons,Hansclaus,Arbgast,Hansclaus Arbgast
29,conseiller_des_jardiniers,1998,Johann,Bilger,,,echevinat,corporation_des_jardiniers,Hans,Bilger,Hans Bilger
30,conseiller_des_maçons,1998,Veltin,Minner,,,echevinat,corporation_des_maçons,Veltin,Mynner,Veltin Mynner
