,magistrature,AnnéeMagistrature,prénom,nom,surnom,genName,corps civique,corporation,prénomNN,nomNN,NomCompletNN
0,stettmeister,1423,Eberhart,"Müllenheim, von",,,constoffeler,,Eberhart,von Mùlnheim,her Eberhart von Mùlnheim
1,stettmeister,1423,Bernhart,Bock,,,constoffeler,,Bernhart,Bock,her Bernhart Bock
2,stettmeister,1423,Walther,Spiegel,,,constoffeler,,Walther,Spiegel,her Walther Spiegel
3,stettmeister,1423,Claus,Melbrühe,,,constoffeler,,Claus,Melbruͤ,her Claus Melbruͤ
4,ammeister,1423,Claus,Schanlit,,,echevinat,,Claus,Schanlit,her Claus Schanlit der ammeister
5,conseiller_des_constaffel,1423,Walther,"Müllenheim, von",,,constoffeler,,Walther,von Mùlnheim,her Walther von Mùlnheim
6,conseiller_des_constaffel,1423,Behremann,"Heiligenstein, von",,,constoffeler,,Bere,von Heiligenstein,her Bere von Heiligenstein
7,conseiller_des_constaffel,1423,Johanns,Rebestock,,,constoffeler,,Johanns,Rebestock,her Johanns Rebestock
8,conseiller_des_constaffel,1423,Peter,Blumelin,,,constoffeler,,Peter,Bluͤmelin,her Peter Bluͤmelin
9,conseiller_des_constaffel,1423,Ulrich,Bock,,,constoffeler,,Uͦlrich,Bock,her Uͦlrich Bock
10,conseiller_des_constaffel,1423,Walther,Bauman,,,constoffeler,,Walther,Buman,her Walther Buman
11,conseiller_des_constaffel,1423,Wolffhelm,Bock,,,constoffeler,,Wolffhelm,Bock,Wolffhelm Bock
12,conseiller_des_constaffel,1423,Wernher,Sturm,,,constoffeler,,Wernher,Sturm,Wernher Sturm
13,conseiller_des_constaffel,1423,Johanns,Hesse,,,constoffeler,,Hanns,Hesse,Hanns Hesse
14,conseiller_des_constaffel,1423,Heinrich,Bertsch,,,constoffeler,,Heinrich,Bertsche,Heinrich Bertsche
15,conseiller_des_constaffel,1423,Peter,Berer,,,constoffeler,,Peter,Berer,Peter Berer
16,conseiller_des_marchands,1423,Johanns,Barpfennig,,,echevinat,corporation_des_marchands,Hanns,Barpfennig,Hanns Barpfennig
17,conseiller_des_boulangers,1423,Johanns,Klein,Clein,,echevinat,corporation_des_boulangers,Hanns,Schultheiss,Clein Hanns Schultheiss
18,conseiller_des_bouchers,1423,Jacob,Kerling,,,echevinat,corporation_des_bouchers,Jacob,Kerling,Jacob Kerling
19,conseiller_des_drapiers,1423,Claus,Sprenger,,,echevinat,corporation_des_drapiers,Claus,Sprenger,Claus Sprenger
20,conseiller_des_tonneliers,1423,Johanns,"Schwenner, zum",zuͦm Swenner,,echevinat,corporation_des_tonneliers,Hanns,Biderman,Hanns Biderman zuͦm Swenner
21,conseiller_des_tanneurs,1423,Claus,Gerbot,,,echevinat,corporation_des_tanneurs,Claus,Gerbot,her Claus Gerbot
22,conseiller_des_cabaretiers,1423,Heinrich,Kranich,,,echevinat,corporation_des_cabaretiers,Heinrich,Cranich,Heinrich Cranich
