Recid,nom,prenom,surnom
aves_aa_4R_auth_0540,sasbach,konrat,
aves_aa_4R_auth_0541,hesse,johanns,
aves_aa_4R_auth_0542,hügeler,bechtolt,
aves_aa_4R_auth_0543,happmacher,andres,
aves_aa_4R_auth_0544,haslach von,mathis,
aves_aa_4R_auth_0545,holtzhauser,heintz,
aves_aa_4R_auth_0546,minner,johanns,
aves_aa_4R_auth_0547,lumbart,stefan,
aves_aa_4R_auth_0548,wissensee,claus,
aves_aa_4R_auth_0549,melbrühe,johanns,
aves_aa_4R_auth_0550,,andres,"pfennigturm, vor dem"
aves_aa_4R_auth_0551,seidenfaden,friedrich,
aves_aa_4R_auth_0552,claus,johanns,
aves_aa_4R_auth_0553,gottfriet,fritsch,
aves_aa_4R_auth_0554,baumgarter,claus,
aves_aa_4R_auth_0555,weidemann,johanns,
aves_aa_4R_auth_0556,armbruster,johanns,"brantgasse, in"
aves_aa_4R_auth_0557,studel,johanns,
aves_aa_4R_auth_0558,"schlettstadt, von",johanns,
aves_aa_4R_auth_0559,trachenfeils,diebolt,
aves_aa_4R_auth_0560,barpfennig,rudolff,
aves_aa_4R_auth_0561,reimbolt,diebolt,
aves_aa_4R_auth_0562,"bellheim, von",claus,
aves_aa_4R_auth_0563,brettler,heinrich,
aves_aa_4R_auth_0564,kriegsheim,claus,
aves_aa_4R_auth_0565,pfaffe,johanns,
aves_aa_4R_auth_0566,"wile, von",johanns,
aves_aa_4R_auth_0567,"molsheim, von",johanns,
aves_aa_4R_auth_0568,förster,symont,
aves_aa_4R_auth_0569,sachsen,stefan,
aves_aa_4R_auth_0570,dürr,walther,
aves_aa_4R_auth_0571,vendenheim,johanns,"brücken, zwischen, der alte"
aves_aa_4R_auth_0572,"trüchtersheim, von",eberhart,
aves_aa_4R_auth_0573,"molsheim, von",michel,
aves_aa_4R_auth_0574,spirer,johanns,
aves_aa_4R_auth_0575,griffe,heinrich,
aves_aa_4R_auth_0576,lusche,claus,
aves_aa_4R_auth_0577,wurtzgarten,johanns,
aves_aa_4R_auth_0578,"seiler, zum",johanns,
aves_aa_4R_auth_0579,"bellheim, von",jacob,
aves_aa_4R_auth_0580,schnabel,heinrich,
aves_aa_4R_auth_0581,bisinger,heinrich,
aves_aa_4R_auth_0582,ganser,michel,
aves_aa_4R_auth_0583,müseler,reimbolt,
aves_aa_4R_auth_0584,götze,johanns,
aves_aa_4R_auth_0585,ross,johanns,
aves_aa_4R_auth_0586,mönchelin,bernhart,
aves_aa_4R_auth_0587,"thann, von",johanns,
aves_aa_4R_auth_0588,klammann,oswalt,
aves_aa_4R_auth_0589,"rhein, zum",johanns,
aves_aa_4R_auth_0590,kiebel,ulrich,
aves_aa_4R_auth_0591,riffe,konrat,
aves_aa_4R_auth_0592,"erfurt, von",claus,
aves_aa_4R_auth_0593,"geispoltzheim, von",wilhelm,
aves_aa_4R_auth_0594,"zweibrücken, von",johanns,
aves_aa_4R_auth_0595,ernst,martin,
aves_aa_4R_auth_0596,trense,johanns,
aves_aa_4R_auth_0597,sundheim,michel,
aves_aa_4R_auth_0598,hettemann,diebolt,
aves_aa_4R_auth_0599,wormser,bernhart,
aves_aa_4R_auth_0600,bruder,stoffelus,
aves_aa_4R_auth_0601,kacheler,friedrich,
aves_aa_4R_auth_0602,hüss,johanns,
aves_aa_4R_auth_0603,doppeler,caspar,
aves_aa_4R_auth_0604,bosterer,johanns,
aves_aa_4R_auth_0605,löwe,jacob,
aves_aa_4R_auth_0606,"schiltigheim, von",andres,
aves_aa_4R_auth_0607,dreitzehn,claus,
aves_aa_4R_auth_0608,hartung,johanns,
aves_aa_4R_auth_0609,ersam,johanns,
aves_aa_4R_auth_0610,"marckoltzheim, von",johanns,
aves_aa_4R_auth_0611,waldener,jacob,
aves_aa_4R_auth_0612,ackerfuss,claus,
aves_aa_4R_auth_0613,hage,jacob,
aves_aa_4R_auth_0614,"heiligenstein, von",anthenie,
aves_aa_4R_auth_0615,joham,konrat,
aves_aa_4R_auth_0616,hertzog,johanns,
aves_aa_4R_auth_0617,ersam,johanns,
aves_aa_4R_auth_0618,ammeler,ebelin,
aves_aa_4R_auth_0619,voltz,johanns,
aves_aa_4R_auth_0620,nüger,claus,
aves_aa_4R_auth_0621,kacheler,johanns,
aves_aa_4R_auth_0622,holniet,johanns,
aves_aa_4R_auth_0623,doppeler,johanns-jerge,
aves_aa_4R_auth_0624,münster,heinrich,
aves_aa_4R_auth_0625,wentscher,johanns,
aves_aa_4R_auth_0626,berner,peter,
aves_aa_4R_auth_0627,dossenheim,claus,
aves_aa_4R_auth_0628,bülher,johanns,
aves_aa_4R_auth_0629,ostertag,völtz,
aves_aa_4R_auth_0630,"neuenburg, von der",johanns,
aves_aa_4R_auth_0631,frank,johanns,
aves_aa_4R_auth_0632,pfaffenheim,sifrit,
aves_aa_4R_auth_0633,bitsch,claus,
aves_aa_4R_auth_0634,barpfennig,rudolff,
aves_aa_4R_auth_0635,messerschmit,johanns-erhart,
aves_aa_4R_auth_0636,krosswiller,johanns,
aves_aa_4R_auth_0637,lohel,burkhart,
aves_aa_4R_auth_0638,metziger,heinrich,
aves_aa_4R_auth_0639,wolff,jerge,
aves_aa_4R_auth_0640,"gengenbach, von",claus,
aves_aa_4R_auth_0641,"nordhausen, von",johanns,
aves_aa_4R_auth_0642,"berse, von",claus,
aves_aa_4R_auth_0643,vetter,jerge,
aves_aa_4R_auth_0644,beingewant,claus,
aves_aa_4R_auth_0645,"lahr, von",johanns,
aves_aa_4R_auth_0646,lamb,bechtolt,
aves_aa_4R_auth_0647,scheubelin,peter,
aves_aa_4R_auth_0648,umb und umb,johanns,
aves_aa_4R_auth_0649,recker,ulrich,
aves_aa_4R_auth_0650,"gemersheim, von",andres,
aves_aa_4R_auth_0651,keinne,bechtolt,
aves_aa_4R_auth_0652,stange,erhart,
aves_aa_4R_auth_0653,diebolt,johanns,
aves_aa_4R_auth_0654,"barre, von",claus,
aves_aa_4R_auth_0655,renner,claus,
aves_aa_4R_auth_0656,jungeling,heinrich,
aves_aa_4R_auth_0657,reimbolt,oberlin,
aves_aa_4R_auth_0658,vendenheim,claus,
aves_aa_4R_auth_0659,sankt-arbogast,ulrich,
aves_aa_4R_auth_0660,herbst,claus,
aves_aa_4R_auth_0661,arge,peter,
aves_aa_4R_auth_0662,burer,ulrich,
aves_aa_4R_auth_0663,offenburg,götze,
aves_aa_4R_auth_0664,wingersheim,stefan,
aves_aa_4R_auth_0665,freiburger,jacob,
aves_aa_4R_auth_0666,bösch,engelhart,
aves_aa_4R_auth_0667,ammelung,jacob,
aves_aa_4R_auth_0668,wolff,claus,
aves_aa_4R_auth_0669,fegersheim,johanns,
aves_aa_4R_auth_0670,wolff,friedrich,
aves_aa_4R_auth_0671,brüchelin,johanns-diebolt,
aves_aa_4R_auth_0672,"ernoltzheim, von",claus,
aves_aa_4R_auth_0673,"bergheim, von",johanns,
aves_aa_4R_auth_0674,bechtolt,friedrich,
aves_aa_4R_auth_0675,rippel,michel,
aves_aa_4R_auth_0676,vogt,walther,
aves_aa_4R_auth_0677,schultheiss,claus,wein-und-brot
aves_aa_4R_auth_0678,graff,johanns,
aves_aa_4R_auth_0679,"worms, von",claus,
aves_aa_4R_auth_0680,"dürningen, von",wernher,
aves_aa_4R_auth_0681,steinhart,johanns,
aves_aa_4R_auth_0682,desche,johanns-heinrich,
aves_aa_4R_auth_0683,rippel,bernhart,
aves_aa_4R_auth_0684,dolle,bechtolt,
aves_aa_4R_auth_0685,helwig,sifrit,
aves_aa_4R_auth_0686,wolle,claus,
aves_aa_4R_auth_0687,lot,peter,
aves_aa_4R_auth_0688,"ehenheim, von",veltin,
aves_aa_4R_auth_0689,ziegler,claus,
aves_aa_4R_auth_0690,hennenberg,diebolt,
aves_aa_4R_auth_0691,schiesel,peter,
aves_aa_4R_auth_0692,herbst,johanns,
aves_aa_4R_auth_0693,"dalheim, von",johanns,
aves_aa_4R_auth_0694,klige,konrat,
aves_aa_4R_auth_0695,duntzenheim,konrat,
aves_aa_4R_auth_0696,schlecht,johanns,
aves_aa_4R_auth_0697,brant,johanns,spirer
aves_aa_4R_auth_0698,scholle,bernhart,
aves_aa_4R_auth_0699,bintz,claus,
aves_aa_4R_auth_0700,schertzheim,johanns,
aves_aa_4R_auth_0701,"illkirch, von",laurentz,
aves_aa_4R_auth_0702,ingolt,claus,
aves_aa_4R_auth_0703,schnell,peter,
aves_aa_4R_auth_0704,leitgast,johanns,
aves_aa_4R_auth_0705,frankenheim,ludwig,
aves_aa_4R_auth_0706,scherer,bernhart,
aves_aa_4R_auth_0707,volmar,thoman,
aves_aa_4R_auth_0708,leitgast,claus,
aves_aa_4R_auth_0709,volk,andres,
aves_aa_4R_auth_0710,arge,heinrich,
aves_aa_4R_auth_0711,gries,peter,
aves_aa_4R_auth_0712,"dalheim, von",johanns,
aves_aa_4R_auth_0713,armbruster,johanns,"pfennigturm, vor dem"
aves_aa_4R_auth_0714,kannengiesser,ludwig,
aves_aa_4R_auth_0715,bisinger,heinrich,
aves_aa_4R_auth_0716,bitsch,konrat,
aves_aa_4R_auth_0717,schoffmeiger,claus,
aves_aa_4R_auth_0718,spitznagel,lienhart,
aves_aa_4R_auth_0719,ammelung,jacob,
aves_aa_4R_auth_0720,messner,adam,
aves_aa_4R_auth_0721,bösch,claus,
aves_aa_4R_auth_0722,weipolt,adam,
aves_aa_4R_auth_0723,gisebrecht,jacob,
aves_aa_4R_auth_0724,habermüller,claus,
aves_aa_4R_auth_0725,seelig,andres,
aves_aa_4R_auth_0726,kniebes,claus,
aves_aa_4R_auth_0727,weidlich,claus,
aves_aa_4R_auth_0728,wirich,claus,
aves_aa_4R_auth_0729,"molsheim, von",konrat,
aves_aa_4R_auth_0730,medinger,heinrich,
aves_aa_4R_auth_0731,"odratzheim, von",johanns,
aves_aa_4R_auth_0732,"rohr, von",walther,
aves_aa_4R_auth_0733,"brümath, von",marx,
aves_aa_4R_auth_0734,meiger,johanns,
aves_aa_4R_auth_0735,hüss,johanns,
aves_aa_4R_auth_0736,schott,peter,
aves_aa_4R_auth_0737,baltener,diebolt,
aves_aa_4R_auth_0738,"olwisheim, von",peter,
aves_aa_4R_auth_0739,"rastetten, von",marx,
aves_aa_4R_auth_0740,rotschilt,wilhelm,
aves_aa_4R_auth_0741,allewelt,bernhart,
aves_aa_4R_auth_0742,lamprecht,jacob,
aves_aa_4R_auth_0743,"morsmünster, von",ulrich,
aves_aa_4R_auth_0744,"olwisheim, von",peter,
aves_aa_4R_auth_0745,rörich,claus,
aves_aa_4R_auth_0746,riber,claus,
aves_aa_4R_auth_0747,ganther,johanns,
aves_aa_4R_auth_0748,"issenhausen, von",claus,
aves_aa_4R_auth_0749,brant,johanns,spirer
aves_aa_4R_auth_0750,stange,gilge,
aves_aa_4R_auth_0751,gosse,johanns,
aves_aa_4R_auth_0752,hage,jacob,
aves_aa_4R_auth_0753,ruhlmann,kühne,
aves_aa_4R_auth_0754,"berse, von",johanns,
aves_aa_4R_auth_0755,kerling,marx,
aves_aa_4R_auth_0756,bir,claus,
aves_aa_4R_auth_0757,hage,frantz,
aves_aa_4R_auth_0758,"bitsch, von",konrat,
aves_aa_4R_auth_0759,ersam,andres,
aves_aa_4R_auth_0760,"brachenheim, von",peter,
aves_aa_4R_auth_0761,bisinger,johanns,
aves_aa_4R_auth_0762,hegel,heinrich,
aves_aa_4R_auth_0763,"sarburg, von",peter,
aves_aa_4R_auth_0764,bisinger,heinrich,
aves_aa_4R_auth_0765,bietenheim,sifrit,
aves_aa_4R_auth_0766,lehmann,martin,
aves_aa_4R_auth_0767,spiess,hilarius,
aves_aa_4R_auth_0768,ottemann,diebolt,
aves_aa_4R_auth_0769,offenburg,bechtolt,
aves_aa_4R_auth_0770,sanselmann,anthenie,
aves_aa_4R_auth_0771,"säckingen, von",johanns,
aves_aa_4R_auth_0772,schedeler,johanns,
aves_aa_4R_auth_0773,trachenfeils,mattern,
aves_aa_4R_auth_0774,"gemersheim, von",laurentz,
aves_aa_4R_auth_0775,villinger,erhart,
aves_aa_4R_auth_0776,"duntzenheim, von",symont,
aves_aa_4R_auth_0777,hug,burkhart,
aves_aa_4R_auth_0778,weldel,johanns,
aves_aa_4R_auth_0779,meiger,johanns,
aves_aa_4R_auth_0780,berlin,johanns,
aves_aa_4R_auth_0781,renner,claus,
aves_aa_4R_auth_0782,"zabern, von",ulrich,
aves_aa_4R_auth_0783,ammeister,lienhart,
aves_aa_4R_auth_0784,wolffach,konrat,
aves_aa_4R_auth_0785,hüss,jerge,
aves_aa_4R_auth_0786,sivester,johanns,
aves_aa_4R_auth_0787,müge,jacob,
aves_aa_4R_auth_0788,westhoffen,claus,
aves_aa_4R_auth_0789,grewalt,michel,
aves_aa_4R_auth_0790,raubel,martin,
aves_aa_4R_auth_0791,pfeffinger,bernhart,
aves_aa_4R_auth_0792,slapp,johanns,
aves_aa_4R_auth_0793,kochersberg,erhart,
aves_aa_4R_auth_0794,reck,diebolt,
aves_aa_4R_auth_0795,burkhart,johanns,
aves_aa_4R_auth_0796,rebestock,fritsch,
aves_aa_4R_auth_0797,scholle,johanns,
aves_aa_4R_auth_0798,"andlau, von",peter,
aves_aa_4R_auth_0799,duntzenheim,claus,
aves_aa_4R_auth_0800,hungerstein,konrat,
aves_aa_4R_auth_0801,vogelsberg,bechtolt,
aves_aa_4R_auth_0802,peter,mathis,"sankt-arbogast, von"
aves_aa_4R_auth_0803,meiger,johanns,
aves_aa_4R_auth_0804,ersam,claus,
aves_aa_4R_auth_0805,"molsheim, von",peter,
aves_aa_4R_auth_0806,riffe,johanns,der junge
aves_aa_4R_auth_0807,brun,claus,
aves_aa_4R_auth_0808,schott,heinrich,
aves_aa_4R_auth_0809,"büre, von",oberlin,
aves_aa_4R_auth_0810,mennichin,johanns,
aves_aa_4R_auth_0811,ducheler,johanns,
aves_aa_4R_auth_0812,ruhlmann,johanns,
aves_aa_4R_auth_0813,armbruster,konrat,
aves_aa_4R_auth_0814,seebott,ulrich,
aves_aa_4R_auth_0815,"trüchtersheim, von",johanns,
aves_aa_4R_auth_0816,wachenheimer,peter,
aves_aa_4R_auth_0817,ulrich,wilhelm,
aves_aa_4R_auth_0818,seelig,khurin,
aves_aa_4R_auth_0819,scholle,konrat,
aves_aa_4R_auth_0820,"rottweil, von",johanns-erhart,
aves_aa_4R_auth_0821,"hohenburg, von",götze,
aves_aa_4R_auth_0822,"frankfurt, von",johanns,
aves_aa_4R_auth_0823,müller,heinrich,
aves_aa_4R_auth_0824,wehel,johanns,
aves_aa_4R_auth_0825,gisebrecht,erhart,
aves_aa_4R_auth_0826,bülle,johanns,
aves_aa_4R_auth_0827,rohrbosch,johanns,
aves_aa_4R_auth_0828,"wile, von",konrat,
aves_aa_4R_auth_0829,"morsmünster, von",peter,
aves_aa_4R_auth_0830,waldener,johanns,
aves_aa_4R_auth_0831,dahlheim,anthenie,
aves_aa_4R_auth_0832,beger,johanns,
aves_aa_4R_auth_0833,schwencker,heinrich,
aves_aa_4R_auth_0834,"morsmünster, von",gangolff,
aves_aa_4R_auth_0835,happmacher,andres,
aves_aa_4R_auth_0836,burggraf,wirich,
aves_aa_4R_auth_0837,rebestock,marx,
aves_aa_4R_auth_0838,mornhinweg,johanns,
aves_aa_4R_auth_0839,"hohenburg, von",götze,
aves_aa_4R_auth_0840,"trüchtersheim, von",ruhlemann,
aves_aa_4R_auth_0841,meiger,jacob,
aves_aa_4R_auth_0842,flöss,johanns,
aves_aa_4R_auth_0843,trense,andres,
aves_aa_4R_auth_0844,"duntzenheim, von",konrat,
aves_aa_4R_auth_0845,armbruster,obrecht,
aves_aa_4R_auth_0846,pfarrer,heinrich,
aves_aa_4R_auth_0847,vendenheim,laurentz,
aves_aa_4R_auth_0848,esslinger,matheus,
aves_aa_4R_auth_0849,ulrich,claus,
aves_aa_4R_auth_0850,jerger,johanns,
aves_aa_4R_auth_0851,wisebach,jacob,
aves_aa_4R_auth_0852,armbruster,konrat,
aves_aa_4R_auth_0853,trachenfeils,lienhart,
aves_aa_4R_auth_0854,storck,konrat,
aves_aa_4R_auth_0855,württemberg,johanns,
aves_aa_4R_auth_0856,fallwehenne,konrat,
aves_aa_4R_auth_0857,meiger,johanns,
aves_aa_4R_auth_0858,renner,peter,
aves_aa_4R_auth_0859,pfutzer,claus,
aves_aa_4R_auth_0860,hug,peter,
aves_aa_4R_auth_0861,dolde,blesin,
aves_aa_4R_auth_0862,bechtolt,claus,
aves_aa_4R_auth_0863,vetter,claus,
aves_aa_4R_auth_0864,rörich,johanns,
aves_aa_4R_auth_0865,"dachstein, von",johanns,
aves_aa_4R_auth_0866,lötschel,claus,
aves_aa_4R_auth_0867,jerger,claus,
aves_aa_4R_auth_0868,rotschilt,stefan,
aves_aa_4R_auth_0869,burnherr,arbogast,
aves_aa_4R_auth_0870,volk,diebolt,
aves_aa_4R_auth_0871,müge,florentz,
aves_aa_4R_auth_0872,frank,johanns,
aves_aa_4R_auth_0873,friedrich,blesin,
aves_aa_4R_auth_0874,happmacher,andres,
aves_aa_4R_auth_0875,"brümath, von",johanns,
aves_aa_4R_auth_0876,rummeler,florentz,
aves_aa_4R_auth_0877,pfutzer,mattern,
aves_aa_4R_auth_0878,missbach,johanns,
aves_aa_4R_auth_0879,dietrich,michel,
aves_aa_4R_auth_0880,krebs,peter,
aves_aa_4R_auth_0881,minner,veltin,
aves_aa_4R_auth_0882,gerbot,jacob,
aves_aa_4R_auth_0883,trachenfeils,andres,
aves_aa_4R_auth_0884,hannemann,johanns,
aves_aa_4R_auth_0885,heinrich,johanns,
aves_aa_4R_auth_0886,bilger,johanns,
aves_aa_4R_auth_0887,ingolt,heinrich,
aves_aa_4R_auth_0888,"hohenburg, von",jerge,
aves_aa_4R_auth_0889,krug,claus,
aves_aa_4R_auth_0890,meiger,lexius,
aves_aa_4R_auth_0891,ebel,jerge,
aves_aa_4R_auth_0892,"wangen, von",konrat,
aves_aa_4R_auth_0893,müseler,peter,
aves_aa_4R_auth_0894,wurm,jacob,
aves_aa_4R_auth_0895,wolff,lienhart,
aves_aa_4R_auth_0896,frank,johanns,
aves_aa_4R_auth_0897,"freiburg, von",jost,
aves_aa_4R_auth_0898,,martin,wein-und-brot
aves_aa_4R_auth_0899,grimmel,kühne,
aves_aa_4R_auth_0900,heil,peter,
aves_aa_4R_auth_0901,"rottweil, von",johanns-wilhelm,
aves_aa_4R_auth_0902,"hochstett, von",johanns,
aves_aa_4R_auth_0903,löwe,konrat,
aves_aa_4R_auth_0904,russer,johanns,
aves_aa_4R_auth_0905,strubel,symont,
aves_aa_4R_auth_0906,konrat,johanns,
aves_aa_4R_auth_0907,stösser,johanns,
aves_aa_4R_auth_0908,merckel,jost,
aves_aa_4R_auth_0909,wolff,claus,
aves_aa_4R_auth_0910,ingolt,johanns,
aves_aa_4R_auth_0911,wernlin,claus,
aves_aa_4R_auth_0912,wingersheim,diebolt,
aves_aa_4R_auth_0913,slapp,bernhart,
aves_aa_4R_auth_0914,bechtolt,diebolt,
aves_aa_4R_auth_0915,seebott,lamprecht,
aves_aa_4R_auth_0916,hungerstein,johanns,
aves_aa_4R_auth_0917,hüseler,rudolff,
aves_aa_4R_auth_0918,kupfer,johanns,
aves_aa_4R_auth_0919,riffe,jeronimus,
aves_aa_4R_auth_0920,küller,jacob,
aves_aa_4R_auth_0921,"molsheim, von",jacob,
aves_aa_4R_auth_0922,"büre, von",oberlin,
aves_aa_4R_auth_0923,kornman,thoman,
aves_aa_4R_auth_0924,lume,konrat,
aves_aa_4R_auth_0925,schwende,johanns,der junge
aves_aa_4R_auth_0926,schwende,johanns,der junge
aves_aa_4R_auth_0927,rüttel,jerge,
aves_aa_4R_auth_0928,arge,peter,
aves_aa_4R_auth_0929,riffe,jerge,
aves_aa_4R_auth_0930,schultheiss,martin,wein-und-brot
aves_aa_4R_auth_0931,arbogast,johanns-claus,
aves_aa_4R_auth_0932,barpfennig,bartholomeus,
aves_aa_4R_auth_0933,renner,johanns,der junge
aves_aa_4R_auth_0934,koch,johanns,der junge
aves_aa_4R_auth_0935,wissemburg,johanns,
aves_aa_4R_auth_0936,merckel,küntz,
aves_aa_4R_auth_0937,jude,heintz,
aves_aa_4R_auth_0938,,,
aves_aa_4R_auth_0939,rebe,lauwel,
aves_aa_4R_auth_0940,schaffner,schaffener,
aves_aa_4R_auth_0941,schultheiss,pantheleon,
aves_aa_4R_auth_0942,erbe,lauwel,
aves_aa_4R_auth_0943,rebe,johanns,
aves_aa_4R_auth_0944,kühne,,
aves_aa_4R_auth_0945,kühne,johanns,
aves_aa_4R_auth_0946,lise,heinrich,
aves_aa_4R_auth_0947,weiss,peter,
aves_aa_4R_auth_0948,diether,dietrich,
aves_aa_4R_auth_0949,jäger,johanns,
aves_aa_4R_auth_0950,hirse,heintz,
aves_aa_4R_auth_0951,scholle,bernhart,
aves_aa_4R_auth_0952,"säckingen, von",friedel,
aves_aa_4R_auth_0953,wurant,claus,
aves_aa_4R_auth_0954,mentzer,johanns,
aves_aa_4R_auth_0955,"köln, von",peter,
aves_aa_4R_auth_0956,ofentürer,peter,
aves_aa_4R_auth_0957,dundenheim,johanns,
aves_aa_4R_auth_0958,dundenheim,peter,
aves_aa_4R_auth_0959,"marlenheim, von",diebolt,
aves_aa_4R_auth_0960,volmar,jacob,
aves_aa_4R_auth_0961,müseler,heinrich,
aves_aa_4R_auth_0962,lugerlin,claus,
aves_aa_4R_auth_0963,ackerfuss,claus,
aves_aa_4R_auth_0964,dossenheim,claus,
aves_aa_4R_auth_0965,stocker,heinrich,
aves_aa_4R_auth_0966,"molsheim, von",adam,
aves_aa_4R_auth_0967,"schaeffoltzheim, von",wilhelm,
aves_aa_4R_auth_0968,"hürtigheim, von",fritsch,
aves_aa_4R_auth_0969,düringer,kühne,der alte
aves_aa_4R_auth_0970,düringer,kühne,der junge
aves_aa_4R_auth_0971,"wantzen, von",jacob,
aves_aa_4R_auth_0972,odratzheim,johanns,
aves_aa_4R_auth_0973,steinbach,johanns,
aves_aa_4R_auth_0974,weber,claus,
aves_aa_4R_auth_0975,"rohr, von",claus,
aves_aa_4R_auth_0976,gunther,johanns,
aves_aa_4R_auth_0977,metziger,peter,
aves_aa_4R_auth_0978,willekin,florentz,
aves_aa_4R_auth_0979,hell,veltin,
aves_aa_4R_auth_0980,"kreuznach, von",johanns,
aves_aa_4R_auth_0981,lehmann,heinrich,
aves_aa_4R_auth_0982,kannengiesser,claus,
aves_aa_4R_auth_0983,mertz,,"krutenau, in"
aves_aa_4R_auth_0984,anshelm,jerge,
aves_aa_4R_auth_0985,neuwiller,johanns,
aves_aa_4R_auth_0986,"schlettstadt, von",johanns,
aves_aa_4R_auth_0987,arge,peter,
aves_aa_4R_auth_0988,klein,johanns,
aves_aa_4R_auth_0989,hirtz,,
aves_aa_4R_auth_0990,"mentz, von",claus,
aves_aa_4R_auth_0991,"molsheim, von",johanns,
aves_aa_4R_auth_0992,glaser,ulrich,
aves_aa_4R_auth_0993,glaser,herzog,
aves_aa_4R_auth_0994,happmacher,fritsch,
aves_aa_4R_auth_0995,"molsheim, von",adam,
aves_aa_4R_auth_0996,,küntz,"tröschen, zum"
aves_aa_4R_auth_0997,sporer,johanns,
aves_aa_4R_auth_0998,waldener,jacob,
aves_aa_4R_auth_0999,,gilge,
aves_aa_4R_auth_1000,"genf, von",johanns,
aves_aa_4R_auth_1001,rosegart,heinrich,
aves_aa_4R_auth_1002,"ehenheim, von",symont,
aves_aa_4R_auth_1003,hensel,andres,
aves_aa_4R_auth_1004,"ehenheim, von",veltin,
aves_aa_4R_auth_1005,westermann,martin,
aves_aa_4R_auth_1006,dolde,lauwel,
aves_aa_4R_auth_1007,gingsheim,johanns,"sankt-elisabeth gasse, auf"
aves_aa_4R_auth_1008,seelig,peter,
aves_aa_4R_auth_1009,,martzolff,
aves_aa_4R_auth_1010,neffe,johanns,
aves_aa_4R_auth_1011,"sant, von",diebolt,
aves_aa_4R_auth_1012,"molsheim, von",peter,
aves_aa_4R_auth_1013,,bernhart,"rad, zum"
aves_aa_4R_auth_1014,"uttenheim, von",johanns,
aves_aa_4R_auth_1015,,peter,"krone, zur"
aves_aa_4R_auth_1016,"worms, von",alhelm,
aves_aa_4R_auth_1017,kipkorn,johanns,
aves_aa_4R_auth_1018,eckendorf,heinrich,
aves_aa_4R_auth_1019,"dürningen, von",heinrich,
aves_aa_4R_auth_1020,schrotbanck,ortlieb,
aves_aa_4R_auth_1021,"lautern, von",johanns,
aves_aa_4R_auth_1022,"mentz, von",kraft,
aves_aa_4R_auth_1023,"sundgau, von",johanns,
aves_aa_4R_auth_1024,lembel,claus,
aves_aa_4R_auth_1025,ohmeter,götze,
aves_aa_4R_auth_1026,erstenberg,heinrich,
aves_aa_4R_auth_1027,glockengiesser,johanns,
aves_aa_4R_auth_1028,weisseisen,johanns,
aves_aa_4R_auth_1029,adam,peter,
aves_aa_4R_auth_1030,allewelt,johanns,
aves_aa_4R_auth_1031,,ludwig,"fischmarkt, am"
aves_aa_4R_auth_1032,stückgarter,bechtolt,
aves_aa_4R_auth_1033,"heiligenstein, von",richart,
aves_aa_4R_auth_1034,stalle,johanns,
aves_aa_4R_auth_1035,loteisen,jost,
aves_aa_4R_auth_1036,schwartz,jeckel,
aves_aa_4R_auth_1037,,veltin,
aves_aa_4R_auth_1038,,rudolff,
aves_aa_4R_auth_1039,,richart,
aves_aa_4R_auth_1040,müsung,johanns,
aves_aa_4R_auth_1041,,claus,"metzige, bei der"
aves_aa_4R_auth_1042,,heinrich,"Sankt-martin, bei"
aves_aa_4R_auth_1043,flach,oswalt,
aves_aa_4R_auth_1044,,üntzel,"graben, auf dem"
aves_aa_4R_auth_1045,,andres,"kürsener, unter"
aves_aa_4R_auth_1046,"lampertheim, von",claus,
aves_aa_4R_auth_1047,,laurentz,
aves_aa_4R_auth_1048,schaffner,jerge,
aves_aa_4R_auth_1049,knapp,johanns,
aves_aa_4R_auth_1050,hasenohr,bernhart,
aves_aa_4R_auth_1051,bender,obrecht,
aves_aa_4R_auth_1052,"wile, von",reimbolt,
aves_aa_4R_auth_1053,,,"molsheim, von"
aves_aa_4R_auth_1054,schmied,claus,
aves_aa_4R_auth_1055,stumpf,adolff,
aves_aa_4R_auth_1056,lehel,burkhart,
aves_aa_4R_auth_1057,gunther,johanns,
aves_aa_4R_auth_1058,,johanns,komm nach hinten
aves_aa_4R_auth_1059,"wangen, von",erhart,
aves_aa_4R_auth_1060,hennenberg,johanns,
aves_aa_4R_auth_1061,butte,lauwel,
aves_aa_4R_auth_1062,ulrich,mathis,
aves_aa_4R_auth_1063,röttel,johanns,
aves_aa_4R_auth_1064,lehmann,johanns,
aves_aa_4R_auth_1065,münch,dietrich,
aves_aa_4R_auth_1066,bentz,lauwel,
aves_aa_4R_auth_1067,reinhart,johanns,
aves_aa_4R_auth_1068,fürsenbach,jacob,
aves_aa_4R_auth_1069,kiebel,johanns,
aves_aa_4R_auth_1070,fleisch,küntz,der alte
aves_aa_4R_auth_1071,drens,johanns,
aves_aa_4R_auth_1072,,khurin,
aves_aa_4R_auth_1073,kilwart,johanns,der junge
aves_aa_4R_auth_1074,,männel,
aves_aa_4R_auth_1075,minner,johanns,
aves_aa_4R_auth_1076,morung,johanns,
aves_aa_4R_auth_1077,wildersinn,johanns,
aves_aa_4R_auth_1078,lütolt,michel,
aves_aa_4R_auth_1079,volmar,claus,
aves_aa_4R_auth_1080,,sixt,
aves_aa_4R_auth_1081,mittelhausen,veltin,
aves_aa_4R_auth_1082,butze,johanns,
aves_aa_4R_auth_1083,porte,johanns,
aves_aa_4R_auth_1084,weidlich,ulrich,
aves_aa_4R_auth_1085,rippel,bernhart,
