Recid,nom,prenom,surnom
aves_aa_4R_auth_0123,wormser,claus,
aves_aa_4R_auth_0124,"hagenau, von",erhart,
aves_aa_4R_auth_0125,stegemann,eberhart,
aves_aa_4R_auth_0126,hechde,claus,
aves_aa_4R_auth_0127,arge,claus,
aves_aa_4R_auth_0128,melbrühe,claus,
aves_aa_4R_auth_0129,wintzler,peter,
aves_aa_4R_auth_0130,lamb,johanns,
aves_aa_4R_auth_0131,messerer,claus,
aves_aa_4R_auth_0132,frei,uhlmann,
aves_aa_4R_auth_0133,fritschmann,hug,
aves_aa_4R_auth_0134,riffe,peter,
aves_aa_4R_auth_0135,gerter,küntz,
aves_aa_4R_auth_0136,schanlit,claus,
aves_aa_4R_auth_0137,kraft,johanns,
aves_aa_4R_auth_0138,kindelin,mewus,
aves_aa_4R_auth_0139,"überhang, zum",hermann,
aves_aa_4R_auth_0140,meiger,johanns,
aves_aa_4R_auth_0141,"hagenau, von",götze,
aves_aa_4R_auth_0142,lamb,heitz,
aves_aa_4R_auth_0143,seifenmacher,hug,
aves_aa_4R_auth_0144,grossstein,johanns,
aves_aa_4R_auth_0145,stollhofen,hensel,
aves_aa_4R_auth_0146,frei,johanns,
aves_aa_4R_auth_0147,gosse,peter,
aves_aa_4R_auth_0148,"dürningen, von",johanns,
aves_aa_4R_auth_0149,leimer,heinrich,
aves_aa_4R_auth_0150,kücheler,peter,
aves_aa_4R_auth_0151,gast,ludwig,
aves_aa_4R_auth_0152,schrotbanck,konrat,
aves_aa_4R_auth_0153,lumbart,johanns,
aves_aa_4R_auth_0154,"oberkirch, von",claus,
aves_aa_4R_auth_0155,rhinau,ottemann,
aves_aa_4R_auth_0156,"rotenschilt, zum",wolff,
aves_aa_4R_auth_0157,"['', 'scherer', '', 'sankt-thoman']",walther,sankt-thoman
aves_aa_4R_auth_0158,marlen,peter,
aves_aa_4R_auth_0159,pfaffenhoffen,johanns,haffener
aves_aa_4R_auth_0160,voltz,claus,
aves_aa_4R_auth_0161,nordhausen,johanns,
aves_aa_4R_auth_0162,"colmar, von",bechtolt,
aves_aa_4R_auth_0163,werde,claus,
aves_aa_4R_auth_0164,beildeck,jeckel,
aves_aa_4R_auth_0165,düpigheim,johanns,
aves_aa_4R_auth_0166,,schweicker,
aves_aa_4R_auth_0167,bader,johanns,"krutenau, in"
aves_aa_4R_auth_0168,dreitzehn,hug,der junge
aves_aa_4R_auth_0169,"hohenhaus, zum",claus,"steinstrasse, an der"
aves_aa_4R_auth_0170,"herrhorn, zum",thoman,
aves_aa_4R_auth_0171,"mommenheim, von",johanns,
aves_aa_4R_auth_0172,"seltz, von",johanns,
aves_aa_4R_auth_0173,armbruster,konrat,"brantgasse, in"
aves_aa_4R_auth_0174,mahler,hermann,
aves_aa_4R_auth_0175,bere,hensel,
aves_aa_4R_auth_0176,hertzog,johanns,
aves_aa_4R_auth_0177,gauch,johanns,
aves_aa_4R_auth_0178,scherer,rudolff,"rossmarkt, am"
aves_aa_4R_auth_0179,renner,diebolt,
aves_aa_4R_auth_0180,"wachsmann, zum",fritsch,
aves_aa_4R_auth_0181,dreitzehn,reimbolt,
aves_aa_4R_auth_0182,burkhart,riffe,
aves_aa_4R_auth_0183,martin,johanns,
aves_aa_4R_auth_0184,meister,heintz,
aves_aa_4R_auth_0185,zirtzer,ulrich,
aves_aa_4R_auth_0186,bidermann,johanns,"schwenner, zum"
aves_aa_4R_auth_0187,sturm,johanns,
aves_aa_4R_auth_0188,villinger,peter,
aves_aa_4R_auth_0189,schwert,johanns,
aves_aa_4R_auth_0190,"wasselnheim, von",johanns,
aves_aa_4R_auth_0191,haslach von,peter,
aves_aa_4R_auth_0192,merckwiller,küntz,
