PrénomNormalisé,PrénomFrançais,Types,FormesNonNormalisées
Johanns-Balthazar,Jean-Balthazar,"['masc', 'germanique', 'hebrew']","['Hannß Balthazar', 'Johanns-Balthazar', 'Hanns Balthazar']"
Johanns-Claus,Jean-Nicolas,"['masc', 'compose', 'hebrew', 'grec']","['Hansclaus', 'Johanns-Claus']"
Johanns-Diebolt,Jean-Thibault,"['masc', 'compose', 'hebrew', 'germanique']","['Hanns Diebolt', 'Johanns-Diebolt']"
Johanns-Erhart,Johanns-Erhart,"['masc', 'compose', 'germanique']","['Hannßerhart', 'Johanns-Erhart', 'Hanns Erhart', 'Hans Erhart', 'Hanserhart']"
Johanns-Heinrich,Jean-Henri,"['masc', 'compose', 'germanique']","['Hans Heinrich', 'Johanns-Heinrich', 'Hannsheinrich', 'Hanns Heinrich']"
Johanns-Hiltebrant,Jean-Hildebrand,"['masc', 'compose', 'germanique']","['Hanns Hiltbrant', 'Johanns-Hiltebrant', 'Hans Hiltebrant']"
Johanns-Jerge,Jean-Georges,"['masc', 'compose', 'hebreux', 'grec']","['Hannß Joͤrg', 'Johanns-Jerge', 'Hanns Jerge']"
Johanns-Konrat,Jean-Konrad,"['masc', 'compose', 'hebrew', 'germanique']","['Hans Conrat', 'Johanns-Konrat', 'Hannß Conrat', 'Hannßconrat', 'Hannsconrat', 'Hanns Conrat', 'Hansconrat', 'Hanns Cünrat']"
Johanns-Ludwig,Jean-Louis,"['masc', 'compose', 'latin']","['Hanns Ludwig', 'Johanns-Ludwig', 'Hansludwig']"
Johanns-Lütholt,,"['masc', 'compose', 'latin', 'germanique']","['Lütoltz Hanns', 'Johanns-Lütholt']"
Johanns-Marx,Jean-Marc,"['masc', 'compose', 'latin', 'hebrew']","['Hanns Marx', 'Johanns-Marx']"
Johanns-Rudolff,Jean-Rodolphe,"['masc', 'compose', 'latin', 'germanique']","['Hanns Rüdolff', 'Johanns-Rudolff', 'Johanns Rüdolff', 'Johanns Ruͦdolff', 'Johannß Ruͦdolff', 'Hanns Ruͦdolff', 'Hans Ruͦdolff', 'Hannsruͦdolff', 'Hannsrüdolff']"
Johanns-Wilhelm,Jean-Guillaum,"['masc', 'compose', 'hebrew', 'germanique']","['Hans Wilhelm', 'Johanns-Wilhelm', 'Hanswilhelm']"
Jost,Juste,"['masc', 'latin']","['Jost', 'Joste', 'Jösel']"
Khurin,,"['masc', 'germanique']","['Churin', 'Khurin', 'Chùrin', 'Kuͦrin']"
Konrat,Konrad,"['masc', 'germanique']","['Konrad', 'Konradt', 'Konrat', 'Cünrat', 'Cünrad', 'Conrat', 'Conrad', 'Cuͦnrat', 'Cunrat', 'Cönrat', 'CuͦNrat']"
