ids,length
"['aves_aa_4R_1400_0005', 'aves_aa_4R_1402_0031', 'aves_aa_4R_1404_0005', 'aves_aa_4R_1406_0005', 'aves_aa_4R_1408_0032', 'aves_aa_4R_1410_0032']",
['aves_aa_4R_1400_0030'],
['aves_aa_4R_1400_0031'],
"['aves_aa_4R_1400_0032', 'aves_aa_4R_1425_0019']",
"['aves_aa_4R_1400_0033', 'aves_aa_4R_1406_0033', 'aves_aa_4R_1410_0033', 'aves_aa_4R_1418_0033', 'aves_aa_4R_1422_0020']",
['aves_aa_4R_1400_0034'],
"['aves_aa_4R_1400_0035', 'aves_aa_4R_1404_0035', 'aves_aa_4R_1415_0034', 'aves_aa_4R_1419_0035']",
['aves_aa_4R_1400_0036'],
"['aves_aa_4R_1400_0037', 'aves_aa_4R_1404_0037', 'aves_aa_4R_1421_0024']",
['aves_aa_4R_1400_0038'],
['aves_aa_4R_1400_0039'],
['aves_aa_4R_1400_0040'],
['aves_aa_4R_1400_0041'],
"['aves_aa_4R_1400_0042', 'aves_aa_4R_1402_0041']",
"['aves_aa_4R_1400_0043', 'aves_aa_4R_1402_0042', 'aves_aa_4R_1404_0043']",
"['aves_aa_4R_1400_0044', 'aves_aa_4R_1405_0044', 'aves_aa_4R_1408_0044', 'aves_aa_4R_1411_0043']",
"['aves_aa_4R_1400_0045', 'aves_aa_4R_1404_0045', 'aves_aa_4R_1408_0045']",
"['aves_aa_4R_1400_0046', 'aves_aa_4R_1406_0045']",
"['aves_aa_4R_1400_0047', 'aves_aa_4R_1404_0047', 'aves_aa_4R_1408_0047', 'aves_aa_4R_1413_0046', 'aves_aa_4R_1417_0048']",
"['aves_aa_4R_1400_0048', 'aves_aa_4R_1404_0048']",
['aves_aa_4R_1400_0049'],
"['aves_aa_4R_1400_0050', 'aves_aa_4R_1402_0005', 'aves_aa_4R_1404_0050', 'aves_aa_4R_1406_0049', 'aves_aa_4R_1408_0005', 'aves_aa_4R_1410_0050', 'aves_aa_4R_1412_0050', 'aves_aa_4R_1414_0050', 'aves_aa_4R_1416_0050', 'aves_aa_4R_1418_0005', 'aves_aa_4R_1420_0037']",
"['aves_aa_4R_1400_0051', 'aves_aa_4R_1402_0050', 'aves_aa_4R_1413_0050', 'aves_aa_4R_1416_0051']",
"['aves_aa_4R_1400_0052', 'aves_aa_4R_1405_0052', 'aves_aa_4R_1414_0052', 'aves_aa_4R_1424_0039']",
"['aves_aa_4R_1400_0053', 'aves_aa_4R_1403_0053', 'aves_aa_4R_1405_0053', 'aves_aa_4R_1413_0052']",
"['aves_aa_4R_1400_0054', 'aves_aa_4R_1406_0053']",
"['aves_aa_4R_1400_0055', 'aves_aa_4R_1403_0055', 'aves_aa_4R_1405_0055', 'aves_aa_4R_1410_0055', 'aves_aa_4R_1414_0055']",
"['aves_aa_4R_1400_0056', 'aves_aa_4R_1405_0056', 'aves_aa_4R_1409_0056', 'aves_aa_4R_1413_0055', 'aves_aa_4R_1415_0055', 'aves_aa_4R_1420_0043', 'aves_aa_4R_1426_0042', 'aves_aa_4R_1428_0042', 'aves_aa_4R_1430_0042', 'aves_aa_4R_1435_0042']",
"['aves_aa_4R_1400_0057', 'aves_aa_4R_1402_0056', 'aves_aa_4R_1404_0057']",
"['aves_aa_4R_1401_0005', 'aves_aa_4R_1403_0040', 'aves_aa_4R_1405_0040', 'aves_aa_4R_1409_0040', 'aves_aa_4R_1411_0039']",
"['aves_aa_4R_1401_0030', 'aves_aa_4R_1403_0030', 'aves_aa_4R_1405_0005', 'aves_aa_4R_1409_0005', 'aves_aa_4R_1411_0029', 'aves_aa_4R_1413_0005', 'aves_aa_4R_1415_0029', 'aves_aa_4R_1417_0031', 'aves_aa_4R_1419_0005', 'aves_aa_4R_1420_0017', 'aves_aa_4R_1422_0017', 'aves_aa_4R_1424_0017', 'aves_aa_4R_1426_0005']",
"['aves_aa_4R_1401_0031', 'aves_aa_4R_1404_0031', 'aves_aa_4R_1408_0031']",
"['aves_aa_4R_1401_0032', 'aves_aa_4R_1405_0032', 'aves_aa_4R_1409_0032']",
"['aves_aa_4R_1401_0033', 'aves_aa_4R_1408_0033']",
['aves_aa_4R_1401_0034'],
"['aves_aa_4R_1401_0035', 'aves_aa_4R_1406_0035', 'aves_aa_4R_1416_0035', 'aves_aa_4R_1424_0022']",
"['aves_aa_4R_1401_0036', 'aves_aa_4R_1402_0035', 'aves_aa_4R_1409_0036', 'aves_aa_4R_1413_0036', 'aves_aa_4R_1423_0023']",
"['aves_aa_4R_1401_0037', 'aves_aa_4R_1410_0037', 'aves_aa_4R_1414_0037', 'aves_aa_4R_1419_0037']",
"['aves_aa_4R_1401_0038', 'aves_aa_4R_1410_0038', 'aves_aa_4R_1420_0025', 'aves_aa_4R_1423_0025', 'aves_aa_4R_1427_0024', 'aves_aa_4R_1430_0024', 'aves_aa_4R_1434_0024']",
['aves_aa_4R_1401_0039'],
"['aves_aa_4R_1401_0040', 'aves_aa_4R_1402_0039']",
"['aves_aa_4R_1401_0041', 'aves_aa_4R_1405_0041', 'aves_aa_4R_1410_0041', 'aves_aa_4R_1413_0040', 'aves_aa_4R_1415_0040', 'aves_aa_4R_1422_0028', 'aves_aa_4R_1427_0027']",
"['aves_aa_4R_1401_0042', 'aves_aa_4R_1403_0042']",
['aves_aa_4R_1401_0043'],
['aves_aa_4R_1401_0044'],
['aves_aa_4R_1401_0045'],
['aves_aa_4R_1401_0046'],
['aves_aa_4R_1401_0047'],
['aves_aa_4R_1401_0048'],
"['aves_aa_4R_1401_0049', 'aves_aa_4R_1413_0048']",
"['aves_aa_4R_1401_0050', 'aves_aa_4R_1409_0050', 'aves_aa_4R_1415_0049']",
"['aves_aa_4R_1401_0051', 'aves_aa_4R_1417_0052']",
"['aves_aa_4R_1401_0052', 'aves_aa_4R_1406_0051', 'aves_aa_4R_1413_0051', 'aves_aa_4R_1423_0039']",
['aves_aa_4R_1401_0053'],
['aves_aa_4R_1401_0054'],
['aves_aa_4R_1401_0055'],
"['aves_aa_4R_1401_0056', 'aves_aa_4R_1404_0056', 'aves_aa_4R_1406_0055', 'aves_aa_4R_1408_0056', 'aves_aa_4R_1410_0056', 'aves_aa_4R_1412_0056', 'aves_aa_4R_1414_0056', 'aves_aa_4R_1416_0056', 'aves_aa_4R_1419_0056', 'aves_aa_4R_1422_0043', 'aves_aa_4R_1424_0043']",
"['aves_aa_4R_1401_0057', 'aves_aa_4R_1403_0057', 'aves_aa_4R_1405_0057', 'aves_aa_4R_1410_0057']",
"['aves_aa_4R_1402_0029', 'aves_aa_4R_1404_0030', 'aves_aa_4R_1416_0030', 'aves_aa_4R_1418_0030', 'aves_aa_4R_1423_0017']",
['aves_aa_4R_1402_0030'],
['aves_aa_4R_1402_0032'],
['aves_aa_4R_1402_0033'],
['aves_aa_4R_1402_0034'],
"['aves_aa_4R_1402_0036', 'aves_aa_4R_1408_0037', 'aves_aa_4R_1411_0036']",
"['aves_aa_4R_1402_0037', 'aves_aa_4R_1406_0038', 'aves_aa_4R_1409_0038', 'aves_aa_4R_1412_0038', 'aves_aa_4R_1414_0038', 'aves_aa_4R_1419_0038']",
"['aves_aa_4R_1402_0038', 'aves_aa_4R_1405_0039']",
"['aves_aa_4R_1402_0040', 'aves_aa_4R_1405_0042', 'aves_aa_4R_1410_0042']",
['aves_aa_4R_1402_0043'],
['aves_aa_4R_1402_0044'],
['aves_aa_4R_1402_0045'],
['aves_aa_4R_1402_0046'],
['aves_aa_4R_1402_0047'],
"['aves_aa_4R_1402_0048', 'aves_aa_4R_1424_0036']",
"['aves_aa_4R_1402_0049', 'aves_aa_4R_1408_0050']",
"['aves_aa_4R_1402_0051', 'aves_aa_4R_1409_0052', 'aves_aa_4R_1412_0052', 'aves_aa_4R_1422_0039', 'aves_aa_4R_1434_0038']",
['aves_aa_4R_1402_0052'],
"['aves_aa_4R_1402_0053', 'aves_aa_4R_1404_0054', 'aves_aa_4R_1408_0054']",
"['aves_aa_4R_1402_0054', 'aves_aa_4R_1406_0054']",
['aves_aa_4R_1402_0055'],
"['aves_aa_4R_1403_0005', 'aves_aa_4R_1405_0033', 'aves_aa_4R_1407_0005', 'aves_aa_4R_1409_0033', 'aves_aa_4R_1411_0005', 'aves_aa_4R_1413_0033', 'aves_aa_4R_1415_0032', 'aves_aa_4R_1417_0034', 'aves_aa_4R_1419_0033']",
